datetime,price,predicted_price,abs_error,error
2026-03-03 10:00:00,483.04,277.1577,205.88228515625002,-205.88228515625002
2026-03-03 06:45:00,483.0,321.87515,161.12484741210938,-161.12484741210938
2026-03-03 06:15:00,284.93,137.2199,147.71010559082032,-147.71010559082032
2026-03-03 09:30:00,400.01,254.51949,145.49051452636718,-145.49051452636718
2026-03-02 18:45:00,286.67,159.64334,127.02665893554689,-127.02665893554689
2026-03-12 18:45:00,76.72,202.37227,125.65226867675781,125.65226867675781
2026-03-12 18:30:00,196.76,79.73541,117.02458740234374,-117.02458740234374
2026-03-03 09:00:00,194.15,307.75226,113.60225830078124,113.60225830078124
2026-03-03 05:30:00,99.58,211.56793,111.98793212890625,111.98793212890625
2026-03-03 09:45:00,250.01,352.93793,102.92792724609376,102.92792724609376
2026-03-03 08:00:00,390.0,287.57626,102.42373657226562,-102.42373657226562
2026-03-03 07:30:00,387.01,286.48102,100.52898193359374,-100.52898193359374
2026-03-03 17:00:00,354.62,263.9817,90.638310546875,-90.638310546875
2026-03-03 15:00:00,48.14,137.23593,89.09593139648437,89.09593139648437
2026-03-03 18:30:00,177.88,265.2266,87.34659301757813,87.34659301757813
2026-03-03 01:00:00,186.77,102.00961,84.76038696289064,-84.76038696289064
2026-03-03 03:45:00,178.9,95.65171,83.2482894897461,-83.2482894897461
2026-03-10 18:45:00,186.53,103.779976,82.75002410888672,-82.75002410888672
2026-03-09 11:00:00,30.77,111.48201,80.71200988769532,80.71200988769532
2026-03-03 19:00:00,180.9,260.84305,79.94304809570312,79.94304809570312
2026-03-09 18:45:00,247.59,170.02087,77.5691259765625,-77.5691259765625
2026-03-02 21:30:00,188.88,111.668655,77.21134460449218,-77.21134460449218
2026-03-03 11:15:00,88.87,164.09424,75.22423828125,75.22423828125
2026-03-03 07:15:00,325.03,249.97949,75.05050781249997,-75.05050781249997
2026-03-03 14:00:00,82.04,155.85007,73.81006713867187,73.81006713867187
2026-03-12 22:00:00,155.58,82.01451,73.56548889160158,-73.56548889160158
2026-03-03 10:30:00,328.8,256.31073,72.48927001953126,-72.48927001953126
2026-03-05 01:00:00,130.13,58.039543,72.09045684814453,-72.09045684814453
2026-03-06 06:45:00,245.95,175.91673,70.03326721191405,-70.03326721191405
2026-03-02 19:00:00,232.34,164.13281,68.2071875,-68.2071875
