"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","BZN|EE","Without Sequence","159.74","",""
"01/01/2026 00:15:00 - 01/01/2026 00:30:00","BZN|EE","Without Sequence","104.94","",""
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","BZN|EE","Without Sequence","75.70","",""
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","BZN|EE","Without Sequence","63.92","",""
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","BZN|EE","Without Sequence","76.02","",""
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","BZN|EE","Without Sequence","75.05","",""
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","BZN|EE","Without Sequence","75.05","",""
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","BZN|EE","Without Sequence","67.32","",""
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","BZN|EE","Without Sequence","100.11","",""
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","BZN|EE","Without Sequence","87.24","",""
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","BZN|EE","Without Sequence","75.07","",""
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","BZN|EE","Without Sequence","75.07","",""
"01/01/2026 03:00:00 - 01/01/2026 03:15:00","BZN|EE","Without Sequence","75.07","",""
"01/01/2026 03:15:00 - 01/01/2026 03:30:00","BZN|EE","Without Sequence","75.07","",""
"01/01/2026 03:30:00 - 01/01/2026 03:45:00","BZN|EE","Without Sequence","77.23","",""
"01/01/2026 03:45:00 - 01/01/2026 04:00:00","BZN|EE","Without Sequence","88.97","",""
"01/01/2026 04:00:00 - 01/01/2026 04:15:00","BZN|EE","Without Sequence","75.07","",""
"01/01/2026 04:15:00 - 01/01/2026 04:30:00","BZN|EE","Without Sequence","75.07","",""
"01/01/2026 04:30:00 - 01/01/2026 04:45:00","BZN|EE","Without Sequence","96.52","",""
"01/01/2026 04:45:00 - 01/01/2026 05:00:00","BZN|EE","Without Sequence","110.09","",""
"01/01/2026 05:00:00 - 01/01/2026 05:15:00","BZN|EE","Without Sequence","75.73","",""
"01/01/2026 05:15:00 - 01/01/2026 05:30:00","BZN|EE","Without Sequence","99.69","",""
"01/01/2026 05:30:00 - 01/01/2026 05:45:00","BZN|EE","Without Sequence","100.00","",""
"01/01/2026 05:45:00 - 01/01/2026 06:00:00","BZN|EE","Without Sequence","128.16","",""
"01/01/2026 06:00:00 - 01/01/2026 06:15:00","BZN|EE","Without Sequence","75.09","",""
"01/01/2026 06:15:00 - 01/01/2026 06:30:00","BZN|EE","Without Sequence","75.09","",""
"01/01/2026 06:30:00 - 01/01/2026 06:45:00","BZN|EE","Without Sequence","75.09","",""
"01/01/2026 06:45:00 - 01/01/2026 07:00:00","BZN|EE","Without Sequence","75.09","",""
"01/01/2026 07:00:00 - 01/01/2026 07:15:00","BZN|EE","Without Sequence","75.70","",""
"01/01/2026 07:15:00 - 01/01/2026 07:30:00","BZN|EE","Without Sequence","75.09","",""
"01/01/2026 07:30:00 - 01/01/2026 07:45:00","BZN|EE","Without Sequence","75.08","",""
"01/01/2026 07:45:00 - 01/01/2026 08:00:00","BZN|EE","Without Sequence","75.08","",""
"01/01/2026 08:00:00 - 01/01/2026 08:15:00","BZN|EE","Without Sequence","75.08","",""
"01/01/2026 08:15:00 - 01/01/2026 08:30:00","BZN|EE","Without Sequence","55.06","",""
"01/01/2026 08:30:00 - 01/01/2026 08:45:00","BZN|EE","Without Sequence","57.44","",""
"01/01/2026 08:45:00 - 01/01/2026 09:00:00","BZN|EE","Without Sequence","55.86","",""
"01/01/2026 09:00:00 - 01/01/2026 09:15:00","BZN|EE","Without Sequence","67.27","",""
"01/01/2026 09:15:00 - 01/01/2026 09:30:00","BZN|EE","Without Sequence","70.44","",""
"01/01/2026 09:30:00 - 01/01/2026 09:45:00","BZN|EE","Without Sequence","63.31","",""
"01/01/2026 09:45:00 - 01/01/2026 10:00:00","BZN|EE","Without Sequence","62.31","",""
"01/01/2026 10:00:00 - 01/01/2026 10:15:00","BZN|EE","Without Sequence","76.71","",""
"01/01/2026 10:15:00 - 01/01/2026 10:30:00","BZN|EE","Without Sequence","74.56","",""
"01/01/2026 10:30:00 - 01/01/2026 10:45:00","BZN|EE","Without Sequence","55.06","",""
"01/01/2026 10:45:00 - 01/01/2026 11:00:00","BZN|EE","Without Sequence","55.05","",""
"01/01/2026 11:00:00 - 01/01/2026 11:15:00","BZN|EE","Without Sequence","65.63","",""
"01/01/2026 11:15:00 - 01/01/2026 11:30:00","BZN|EE","Without Sequence","55.05","",""
"01/01/2026 11:30:00 - 01/01/2026 11:45:00","BZN|EE","Without Sequence","55.05","",""
"01/01/2026 11:45:00 - 01/01/2026 12:00:00","BZN|EE","Without Sequence","55.05","",""
"01/01/2026 12:00:00 - 01/01/2026 12:15:00","BZN|EE","Without Sequence","99.97","",""
"01/01/2026 12:15:00 - 01/01/2026 12:30:00","BZN|EE","Without Sequence","84.96","",""
"01/01/2026 12:30:00 - 01/01/2026 12:45:00","BZN|EE","Without Sequence","57.53","",""
