"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|PL","Without Sequence","140.83","",""
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|PL","Without Sequence","142.20","",""
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|PL","Without Sequence","141.56","",""
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|PL","Without Sequence","143.34","",""
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|PL","Without Sequence","141.65","",""
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|PL","Without Sequence","143.34","",""
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|PL","Without Sequence","141.59","",""
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|PL","Without Sequence","141.58","",""
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|PL","Without Sequence","170.74","",""
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|PL","Without Sequence","167.72","",""
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|PL","Without Sequence","167.97","",""
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|PL","Without Sequence","159.96","",""
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|PL","Without Sequence","160.99","",""
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|PL","Without Sequence","149.62","",""
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|PL","Without Sequence","143.07","",""
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|PL","Without Sequence","132.52","",""
"03/01/2023 22:00:00 - 03/01/2023 23:00:00","BZN|PL","Without Sequence","128.25","",""
"03/01/2023 23:00:00 - 04/01/2023 00:00:00","BZN|PL","Without Sequence","130.34","",""
"04/01/2023 00:00:00 - 04/01/2023 01:00:00","BZN|PL","Without Sequence","121.78","",""
"04/01/2023 01:00:00 - 04/01/2023 02:00:00","BZN|PL","Without Sequence","128.19","",""
"04/01/2023 02:00:00 - 04/01/2023 03:00:00","BZN|PL","Without Sequence","121.78","",""
"04/01/2023 03:00:00 - 04/01/2023 04:00:00","BZN|PL","Without Sequence","122.94","",""
"04/01/2023 04:00:00 - 04/01/2023 05:00:00","BZN|PL","Without Sequence","128.20","",""
"04/01/2023 05:00:00 - 04/01/2023 06:00:00","BZN|PL","Without Sequence","138.87","",""
"04/01/2023 06:00:00 - 04/01/2023 07:00:00","BZN|PL","Without Sequence","143.03","",""
"04/01/2023 07:00:00 - 04/01/2023 08:00:00","BZN|PL","Without Sequence","142.51","",""
"04/01/2023 08:00:00 - 04/01/2023 09:00:00","BZN|PL","Without Sequence","141.59","",""
"04/01/2023 09:00:00 - 04/01/2023 10:00:00","BZN|PL","Without Sequence","139.31","",""
"04/01/2023 10:00:00 - 04/01/2023 11:00:00","BZN|PL","Without Sequence","138.88","",""
"04/01/2023 11:00:00 - 04/01/2023 12:00:00","BZN|PL","Without Sequence","135.80","",""
"04/01/2023 12:00:00 - 04/01/2023 13:00:00","BZN|PL","Without Sequence","136.74","",""
"04/01/2023 13:00:00 - 04/01/2023 14:00:00","BZN|PL","Without Sequence","130.08","",""
"04/01/2023 14:00:00 - 04/01/2023 15:00:00","BZN|PL","Without Sequence","130.05","",""
"04/01/2023 15:00:00 - 04/01/2023 16:00:00","BZN|PL","Without Sequence","141.03","",""
"04/01/2023 16:00:00 - 04/01/2023 17:00:00","BZN|PL","Without Sequence","141.47","",""
"04/01/2023 17:00:00 - 04/01/2023 18:00:00","BZN|PL","Without Sequence","141.04","",""
"04/01/2023 18:00:00 - 04/01/2023 19:00:00","BZN|PL","Without Sequence","141.47","",""
"04/01/2023 19:00:00 - 04/01/2023 20:00:00","BZN|PL","Without Sequence","127.10","",""
"04/01/2023 20:00:00 - 04/01/2023 21:00:00","BZN|PL","Without Sequence","127.96","",""
"04/01/2023 21:00:00 - 04/01/2023 22:00:00","BZN|PL","Without Sequence","117.27","",""
"04/01/2023 22:00:00 - 04/01/2023 23:00:00","BZN|PL","Without Sequence","88.88","",""
"04/01/2023 23:00:00 - 05/01/2023 00:00:00","BZN|PL","Without Sequence","86.16","",""
"05/01/2023 00:00:00 - 05/01/2023 01:00:00","BZN|PL","Without Sequence","76.62","",""
"05/01/2023 01:00:00 - 05/01/2023 02:00:00","BZN|PL","Without Sequence","63.17","",""
"05/01/2023 02:00:00 - 05/01/2023 03:00:00","BZN|PL","Without Sequence","70.48","",""
"05/01/2023 03:00:00 - 05/01/2023 04:00:00","BZN|PL","Without Sequence","59.72","",""
"05/01/2023 04:00:00 - 05/01/2023 05:00:00","BZN|PL","Without Sequence","75.23","",""
"05/01/2023 05:00:00 - 05/01/2023 06:00:00","BZN|PL","Without Sequence","97.28","",""
"05/01/2023 06:00:00 - 05/01/2023 07:00:00","BZN|PL","Without Sequence","111.11","",""
"05/01/2023 07:00:00 - 05/01/2023 08:00:00","BZN|PL","Without Sequence","117.82","",""
"05/01/2023 08:00:00 - 05/01/2023 09:00:00","BZN|PL","Without Sequence","117.99","",""
"05/01/2023 09:00:00 - 05/01/2023 10:00:00","BZN|PL","Without Sequence","107.37","",""
"05/01/2023 10:00:00 - 05/01/2023 11:00:00","BZN|PL","Without Sequence","114.56","",""
"05/01/2023 11:00:00 - 05/01/2023 12:00:00","BZN|PL","Without Sequence","108.79","",""
"05/01/2023 12:00:00 - 05/01/2023 13:00:00","BZN|PL","Without Sequence","128.50","",""
"05/01/2023 13:00:00 - 05/01/2023 14:00:00","BZN|PL","Without Sequence","126.30","",""
"05/01/2023 14:00:00 - 05/01/2023 15:00:00","BZN|PL","Without Sequence","132.78","",""
"05/01/2023 15:00:00 - 05/01/2023 16:00:00","BZN|PL","Without Sequence","133.95","",""
"05/01/2023 16:00:00 - 05/01/2023 17:00:00","BZN|PL","Without Sequence","137.25","",""
"05/01/2023 17:00:00 - 05/01/2023 18:00:00","BZN|PL","Without Sequence","135.91","",""
"05/01/2023 18:00:00 - 05/01/2023 19:00:00","BZN|PL","Without Sequence","137.05","",""
"05/01/2023 19:00:00 - 05/01/2023 20:00:00","BZN|PL","Without Sequence","128.49","",""
"05/01/2023 20:00:00 - 05/01/2023 21:00:00","BZN|PL","Without Sequence","132.76","",""
"05/01/2023 21:00:00 - 05/01/2023 22:00:00","BZN|PL","Without Sequence","131.69","",""
"05/01/2023 22:00:00 - 05/01/2023 23:00:00","BZN|PL","Without Sequence","127.00","",""
"05/01/2023 23:00:00 - 06/01/2023 00:00:00","BZN|PL","Without Sequence","100.92","",""
"06/01/2023 00:00:00 - 06/01/2023 01:00:00","BZN|PL","Without Sequence","101.10","",""
"06/01/2023 01:00:00 - 06/01/2023 02:00:00","BZN|PL","Without Sequence","96.73","",""
"06/01/2023 02:00:00 - 06/01/2023 03:00:00","BZN|PL","Without Sequence","93.85","",""
"06/01/2023 03:00:00 - 06/01/2023 04:00:00","BZN|PL","Without Sequence","85.82","",""
"06/01/2023 04:00:00 - 06/01/2023 05:00:00","BZN|PL","Without Sequence","98.11","",""
"06/01/2023 05:00:00 - 06/01/2023 06:00:00","BZN|PL","Without Sequence","96.29","",""
"06/01/2023 06:00:00 - 06/01/2023 07:00:00","BZN|PL","Without Sequence","103.31","",""
"06/01/2023 07:00:00 - 06/01/2023 08:00:00","BZN|PL","Without Sequence","99.94","",""
"06/01/2023 08:00:00 - 06/01/2023 09:00:00","BZN|PL","Without Sequence","108.76","",""
"06/01/2023 09:00:00 - 06/01/2023 10:00:00","BZN|PL","Without Sequence","101.65","",""
"06/01/2023 10:00:00 - 06/01/2023 11:00:00","BZN|PL","Without Sequence","106.20","",""
"06/01/2023 11:00:00 - 06/01/2023 12:00:00","BZN|PL","Without Sequence","100.57","",""
"06/01/2023 12:00:00 - 06/01/2023 13:00:00","BZN|PL","Without Sequence","106.79","",""
"06/01/2023 13:00:00 - 06/01/2023 14:00:00","BZN|PL","Without Sequence","101.92","",""
"06/01/2023 14:00:00 - 06/01/2023 15:00:00","BZN|PL","Without Sequence","103.21","",""
"06/01/2023 15:00:00 - 06/01/2023 16:00:00","BZN|PL","Without Sequence","103.27","",""
"06/01/2023 16:00:00 - 06/01/2023 17:00:00","BZN|PL","Without Sequence","109.44","",""
"06/01/2023 17:00:00 - 06/01/2023 18:00:00","BZN|PL","Without Sequence","101.77","",""
"06/01/2023 18:00:00 - 06/01/2023 19:00:00","BZN|PL","Without Sequence","104.27","",""
"06/01/2023 19:00:00 - 06/01/2023 20:00:00","BZN|PL","Without Sequence","100.67","",""
"06/01/2023 20:00:00 - 06/01/2023 21:00:00","BZN|PL","Without Sequence","103.33","",""
"06/01/2023 21:00:00 - 06/01/2023 22:00:00","BZN|PL","Without Sequence","95.98","",""
"06/01/2023 22:00:00 - 06/01/2023 23:00:00","BZN|PL","Without Sequence","97.74","",""
"06/01/2023 23:00:00 - 07/01/2023 00:00:00","BZN|PL","Without Sequence","103.27","",""
"07/01/2023 00:00:00 - 07/01/2023 01:00:00","BZN|PL","Without Sequence","104.71","",""
"07/01/2023 01:00:00 - 07/01/2023 02:00:00","BZN|PL","Without Sequence","99.45","",""
"07/01/2023 02:00:00 - 07/01/2023 03:00:00","BZN|PL","Without Sequence","103.78","",""
"07/01/2023 03:00:00 - 07/01/2023 04:00:00","BZN|PL","Without Sequence","102.58","",""
"07/01/2023 04:00:00 - 07/01/2023 05:00:00","BZN|PL","Without Sequence","105.14","",""
"07/01/2023 05:00:00 - 07/01/2023 06:00:00","BZN|PL","Without Sequence","104.71","",""
"07/01/2023 06:00:00 - 07/01/2023 07:00:00","BZN|PL","Without Sequence","117.26","",""
"07/01/2023 07:00:00 - 07/01/2023 08:00:00","BZN|PL","Without Sequence","128.43","",""
"07/01/2023 08:00:00 - 07/01/2023 09:00:00","BZN|PL","Without Sequence","137.07","",""
"07/01/2023 09:00:00 - 07/01/2023 10:00:00","BZN|PL","Without Sequence","126.68","",""
"07/01/2023 10:00:00 - 07/01/2023 11:00:00","BZN|PL","Without Sequence","137.83","",""
"07/01/2023 11:00:00 - 07/01/2023 12:00:00","BZN|PL","Without Sequence","121.52","",""
"07/01/2023 12:00:00 - 07/01/2023 13:00:00","BZN|PL","Without Sequence","134.12","",""
"07/01/2023 13:00:00 - 07/01/2023 14:00:00","BZN|PL","Without Sequence","130.39","",""
"07/01/2023 14:00:00 - 07/01/2023 15:00:00","BZN|PL","Without Sequence","139.85","",""
"07/01/2023 15:00:00 - 07/01/2023 16:00:00","BZN|PL","Without Sequence","161.63","",""
"07/01/2023 16:00:00 - 07/01/2023 17:00:00","BZN|PL","Without Sequence","166.25","",""
"07/01/2023 17:00:00 - 07/01/2023 18:00:00","BZN|PL","Without Sequence","157.58","",""
"07/01/2023 18:00:00 - 07/01/2023 19:00:00","BZN|PL","Without Sequence","155.96","",""
"07/01/2023 19:00:00 - 07/01/2023 20:00:00","BZN|PL","Without Sequence","131.19","",""
"07/01/2023 20:00:00 - 07/01/2023 21:00:00","BZN|PL","Without Sequence","109.71","",""
"07/01/2023 21:00:00 - 07/01/2023 22:00:00","BZN|PL","Without Sequence","100.74","",""
"07/01/2023 22:00:00 - 07/01/2023 23:00:00","BZN|PL","Without Sequence","95.59","",""
"07/01/2023 23:00:00 - 08/01/2023 00:00:00","BZN|PL","Without Sequence","85.62","",""
"08/01/2023 00:00:00 - 08/01/2023 01:00:00","BZN|PL","Without Sequence","76.05","",""
"08/01/2023 01:00:00 - 08/01/2023 02:00:00","BZN|PL","Without Sequence","69.19","",""
"08/01/2023 02:00:00 - 08/01/2023 03:00:00","BZN|PL","Without Sequence","67.02","",""
"08/01/2023 03:00:00 - 08/01/2023 04:00:00","BZN|PL","Without Sequence","68.38","",""
"08/01/2023 04:00:00 - 08/01/2023 05:00:00","BZN|PL","Without Sequence","69.52","",""
"08/01/2023 05:00:00 - 08/01/2023 06:00:00","BZN|PL","Without Sequence","74.91","",""
"08/01/2023 06:00:00 - 08/01/2023 07:00:00","BZN|PL","Without Sequence","82.59","",""
"08/01/2023 07:00:00 - 08/01/2023 08:00:00","BZN|PL","Without Sequence","84.34","",""
"08/01/2023 08:00:00 - 08/01/2023 09:00:00","BZN|PL","Without Sequence","95.76","",""
"08/01/2023 09:00:00 - 08/01/2023 10:00:00","BZN|PL","Without Sequence","98.53","",""
"08/01/2023 10:00:00 - 08/01/2023 11:00:00","BZN|PL","Without Sequence","102.04","",""
"08/01/2023 11:00:00 - 08/01/2023 12:00:00","BZN|PL","Without Sequence","99.86","",""
"08/01/2023 12:00:00 - 08/01/2023 13:00:00","BZN|PL","Without Sequence","98.29","",""
"08/01/2023 13:00:00 - 08/01/2023 14:00:00","BZN|PL","Without Sequence","98.85","",""
"08/01/2023 14:00:00 - 08/01/2023 15:00:00","BZN|PL","Without Sequence","100.57","",""
"08/01/2023 15:00:00 - 08/01/2023 16:00:00","BZN|PL","Without Sequence","106.85","",""
"08/01/2023 16:00:00 - 08/01/2023 17:00:00","BZN|PL","Without Sequence","108.47","",""
"08/01/2023 17:00:00 - 08/01/2023 18:00:00","BZN|PL","Without Sequence","107.17","",""
"08/01/2023 18:00:00 - 08/01/2023 19:00:00","BZN|PL","Without Sequence","106.11","",""
"08/01/2023 19:00:00 - 08/01/2023 20:00:00","BZN|PL","Without Sequence","106.64","",""
"08/01/2023 20:00:00 - 08/01/2023 21:00:00","BZN|PL","Without Sequence","105.27","",""
"08/01/2023 21:00:00 - 08/01/2023 22:00:00","BZN|PL","Without Sequence","100.15","",""
"08/01/2023 22:00:00 - 08/01/2023 23:00:00","BZN|PL","Without Sequence","91.42","",""
"08/01/2023 23:00:00 - 09/01/2023 00:00:00","BZN|PL","Without Sequence","95.39","",""
"09/01/2023 00:00:00 - 09/01/2023 01:00:00","BZN|PL","Without Sequence","93.81","",""
"09/01/2023 01:00:00 - 09/01/2023 02:00:00","BZN|PL","Without Sequence","90.82","",""
"09/01/2023 02:00:00 - 09/01/2023 03:00:00","BZN|PL","Without Sequence","93.83","",""
"09/01/2023 03:00:00 - 09/01/2023 04:00:00","BZN|PL","Without Sequence","91.97","",""
"09/01/2023 04:00:00 - 09/01/2023 05:00:00","BZN|PL","Without Sequence","95.77","",""
"09/01/2023 05:00:00 - 09/01/2023 06:00:00","BZN|PL","Without Sequence","149.57","",""
"09/01/2023 06:00:00 - 09/01/2023 07:00:00","BZN|PL","Without Sequence","168.40","",""
"09/01/2023 07:00:00 - 09/01/2023 08:00:00","BZN|PL","Without Sequence","180.00","",""
"09/01/2023 08:00:00 - 09/01/2023 09:00:00","BZN|PL","Without Sequence","180.12","",""
"09/01/2023 09:00:00 - 09/01/2023 10:00:00","BZN|PL","Without Sequence","176.46","",""
"09/01/2023 10:00:00 - 09/01/2023 11:00:00","BZN|PL","Without Sequence","178.87","",""
