"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|LV","Without Sequence","41.33","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|LV","Without Sequence","42.18","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|LV","Without Sequence","44.37","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|LV","Without Sequence","37.67","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|LV","Without Sequence","39.70","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|LV","Without Sequence","40.59","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|LV","Without Sequence","43.26","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|LV","Without Sequence","49.66","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|LV","Without Sequence","70.05","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|LV","Without Sequence","76.79","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|LV","Without Sequence","84.10","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|LV","Without Sequence","94.74","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|LV","Without Sequence","96.80","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|LV","Without Sequence","97.17","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|LV","Without Sequence","101.27","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|LV","Without Sequence","126.60","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|LV","Without Sequence","149.97","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|LV","Without Sequence","146.33","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|LV","Without Sequence","140.28","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|LV","Without Sequence","121.88","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|LV","Without Sequence","102.61","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|LV","Without Sequence","97.46","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|LV","Without Sequence","85.16","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|LV","Without Sequence","57.08","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|LV","Without Sequence","55.09","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|LV","Without Sequence","52.82","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|LV","Without Sequence","34.94","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|LV","Without Sequence","29.56","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|LV","Without Sequence","53.01","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|LV","Without Sequence","34.52","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|LV","Without Sequence","41.80","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|LV","Without Sequence","48.95","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|LV","Without Sequence","60.01","",""
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|LV","Without Sequence","70.09","",""
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|LV","Without Sequence","66.26","",""
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|LV","Without Sequence","64.54","",""
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|LV","Without Sequence","46.96","",""
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|LV","Without Sequence","65.19","",""
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|LV","Without Sequence","81.09","",""
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|LV","Without Sequence","88.46","",""
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|LV","Without Sequence","95.40","",""
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|LV","Without Sequence","86.71","",""
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|LV","Without Sequence","71.72","",""
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|LV","Without Sequence","56.73","",""
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|LV","Without Sequence","46.16","",""
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|LV","Without Sequence","46.29","",""
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|LV","Without Sequence","32.93","",""
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|LV","Without Sequence","20.89","",""
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|LV","Without Sequence","19.92","",""
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|LV","Without Sequence","19.87","",""
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|LV","Without Sequence","19.82","",""
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","BZN|LV","Without Sequence","20.26","",""
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","BZN|LV","Without Sequence","29.35","",""
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|LV","Without Sequence","80.00","",""
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|LV","Without Sequence","106.87","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|LV","Without Sequence","131.47","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|LV","Without Sequence","135.53","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|LV","Without Sequence","107.46","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|LV","Without Sequence","110.08","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|LV","Without Sequence","119.78","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|LV","Without Sequence","117.00","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|LV","Without Sequence","111.57","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|LV","Without Sequence","111.39","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|LV","Without Sequence","124.51","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|LV","Without Sequence","148.49","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|LV","Without Sequence","138.00","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|LV","Without Sequence","117.64","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|LV","Without Sequence","117.71","",""
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|LV","Without Sequence","95.95","",""
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|LV","Without Sequence","105.68","",""
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","BZN|LV","Without Sequence","95.26","",""
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","BZN|LV","Without Sequence","103.70","",""
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","BZN|LV","Without Sequence","104.14","",""
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","BZN|LV","Without Sequence","102.59","",""
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","BZN|LV","Without Sequence","100.49","",""
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","BZN|LV","Without Sequence","102.71","",""
"04/01/2022 04:00:00 - 04/01/2022 05:00:00","BZN|LV","Without Sequence","93.97","",""
"04/01/2022 05:00:00 - 04/01/2022 06:00:00","BZN|LV","Without Sequence","130.08","",""
"04/01/2022 06:00:00 - 04/01/2022 07:00:00","BZN|LV","Without Sequence","182.64","",""
"04/01/2022 07:00:00 - 04/01/2022 08:00:00","BZN|LV","Without Sequence","174.61","",""
"04/01/2022 08:00:00 - 04/01/2022 09:00:00","BZN|LV","Without Sequence","183.60","",""
"04/01/2022 09:00:00 - 04/01/2022 10:00:00","BZN|LV","Without Sequence","183.65","",""
"04/01/2022 10:00:00 - 04/01/2022 11:00:00","BZN|LV","Without Sequence","164.62","",""
"04/01/2022 11:00:00 - 04/01/2022 12:00:00","BZN|LV","Without Sequence","178.08","",""
"04/01/2022 12:00:00 - 04/01/2022 13:00:00","BZN|LV","Without Sequence","175.28","",""
"04/01/2022 13:00:00 - 04/01/2022 14:00:00","BZN|LV","Without Sequence","174.70","",""
"04/01/2022 14:00:00 - 04/01/2022 15:00:00","BZN|LV","Without Sequence","180.93","",""
"04/01/2022 15:00:00 - 04/01/2022 16:00:00","BZN|LV","Without Sequence","166.69","",""
"04/01/2022 16:00:00 - 04/01/2022 17:00:00","BZN|LV","Without Sequence","183.69","",""
"04/01/2022 17:00:00 - 04/01/2022 18:00:00","BZN|LV","Without Sequence","180.50","",""
"04/01/2022 18:00:00 - 04/01/2022 19:00:00","BZN|LV","Without Sequence","153.88","",""
"04/01/2022 19:00:00 - 04/01/2022 20:00:00","BZN|LV","Without Sequence","146.81","",""
"04/01/2022 20:00:00 - 04/01/2022 21:00:00","BZN|LV","Without Sequence","128.75","",""
"04/01/2022 21:00:00 - 04/01/2022 22:00:00","BZN|LV","Without Sequence","112.96","",""
"04/01/2022 22:00:00 - 04/01/2022 23:00:00","BZN|LV","Without Sequence","84.11","",""
"04/01/2022 23:00:00 - 05/01/2022 00:00:00","BZN|LV","Without Sequence","105.31","",""
"05/01/2022 00:00:00 - 05/01/2022 01:00:00","BZN|LV","Without Sequence","97.29","",""
"05/01/2022 01:00:00 - 05/01/2022 02:00:00","BZN|LV","Without Sequence","84.50","",""
"05/01/2022 02:00:00 - 05/01/2022 03:00:00","BZN|LV","Without Sequence","75.38","",""
"05/01/2022 03:00:00 - 05/01/2022 04:00:00","BZN|LV","Without Sequence","79.11","",""
"05/01/2022 04:00:00 - 05/01/2022 05:00:00","BZN|LV","Without Sequence","94.79","",""
"05/01/2022 05:00:00 - 05/01/2022 06:00:00","BZN|LV","Without Sequence","121.92","",""
