"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|PL","Without Sequence","49.37","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|PL","Without Sequence","43.22","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|PL","Without Sequence","45.46","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|PL","Without Sequence","37.67","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|PL","Without Sequence","39.70","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|PL","Without Sequence","40.59","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|PL","Without Sequence","43.26","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|PL","Without Sequence","49.66","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|PL","Without Sequence","70.05","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|PL","Without Sequence","76.79","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|PL","Without Sequence","84.10","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|PL","Without Sequence","94.74","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|PL","Without Sequence","96.80","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|PL","Without Sequence","97.17","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|PL","Without Sequence","101.00","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|PL","Without Sequence","126.60","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|PL","Without Sequence","149.97","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|PL","Without Sequence","146.33","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|PL","Without Sequence","140.28","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|PL","Without Sequence","121.88","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|PL","Without Sequence","102.61","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|PL","Without Sequence","97.46","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|PL","Without Sequence","85.16","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|PL","Without Sequence","89.89","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|PL","Without Sequence","80.15","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|PL","Without Sequence","62.75","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|PL","Without Sequence","54.87","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|PL","Without Sequence","50.50","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|PL","Without Sequence","50.89","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|PL","Without Sequence","56.15","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|PL","Without Sequence","60.91","",""
