"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"03/01/2021 05:00:00 - 03/01/2021 06:00:00","BZN|SE4","Without Sequence","24.05","",""
"03/01/2021 06:00:00 - 03/01/2021 07:00:00","BZN|SE4","Without Sequence","24.80","",""
"03/01/2021 07:00:00 - 03/01/2021 08:00:00","BZN|SE4","Without Sequence","24.97","",""
"03/01/2021 08:00:00 - 03/01/2021 09:00:00","BZN|SE4","Without Sequence","25.65","",""
"03/01/2021 09:00:00 - 03/01/2021 10:00:00","BZN|SE4","Without Sequence","26.00","",""
"03/01/2021 10:00:00 - 03/01/2021 11:00:00","BZN|SE4","Without Sequence","26.89","",""
"03/01/2021 11:00:00 - 03/01/2021 12:00:00","BZN|SE4","Without Sequence","25.87","",""
"03/01/2021 12:00:00 - 03/01/2021 13:00:00","BZN|SE4","Without Sequence","25.83","",""
"03/01/2021 13:00:00 - 03/01/2021 14:00:00","BZN|SE4","Without Sequence","26.02","",""
"03/01/2021 14:00:00 - 03/01/2021 15:00:00","BZN|SE4","Without Sequence","26.50","",""
"03/01/2021 15:00:00 - 03/01/2021 16:00:00","BZN|SE4","Without Sequence","33.27","",""
"03/01/2021 16:00:00 - 03/01/2021 17:00:00","BZN|SE4","Without Sequence","43.96","",""
"03/01/2021 17:00:00 - 03/01/2021 18:00:00","BZN|SE4","Without Sequence","43.35","",""
"03/01/2021 18:00:00 - 03/01/2021 19:00:00","BZN|SE4","Without Sequence","27.92","",""
"03/01/2021 19:00:00 - 03/01/2021 20:00:00","BZN|SE4","Without Sequence","27.56","",""
"03/01/2021 20:00:00 - 03/01/2021 21:00:00","BZN|SE4","Without Sequence","27.04","",""
"03/01/2021 21:00:00 - 03/01/2021 22:00:00","BZN|SE4","Without Sequence","26.18","",""
"03/01/2021 22:00:00 - 03/01/2021 23:00:00","BZN|SE4","Without Sequence","24.92","",""
"03/01/2021 23:00:00 - 04/01/2021 00:00:00","BZN|SE4","Without Sequence","24.66","",""
"04/01/2021 00:00:00 - 04/01/2021 01:00:00","BZN|SE4","Without Sequence","24.05","",""
"04/01/2021 01:00:00 - 04/01/2021 02:00:00","BZN|SE4","Without Sequence","23.88","",""
"04/01/2021 02:00:00 - 04/01/2021 03:00:00","BZN|SE4","Without Sequence","24.03","",""
"04/01/2021 03:00:00 - 04/01/2021 04:00:00","BZN|SE4","Without Sequence","24.58","",""
"04/01/2021 04:00:00 - 04/01/2021 05:00:00","BZN|SE4","Without Sequence","25.84","",""
"04/01/2021 05:00:00 - 04/01/2021 06:00:00","BZN|SE4","Without Sequence","28.21","",""
"04/01/2021 06:00:00 - 04/01/2021 07:00:00","BZN|SE4","Without Sequence","49.76","",""
"04/01/2021 07:00:00 - 04/01/2021 08:00:00","BZN|SE4","Without Sequence","54.42","",""
"04/01/2021 08:00:00 - 04/01/2021 09:00:00","BZN|SE4","Without Sequence","55.69","",""
"04/01/2021 09:00:00 - 04/01/2021 10:00:00","BZN|SE4","Without Sequence","55.80","",""
"04/01/2021 10:00:00 - 04/01/2021 11:00:00","BZN|SE4","Without Sequence","58.27","",""
"04/01/2021 11:00:00 - 04/01/2021 12:00:00","BZN|SE4","Without Sequence","57.52","",""
"04/01/2021 12:00:00 - 04/01/2021 13:00:00","BZN|SE4","Without Sequence","56.53","",""
"04/01/2021 13:00:00 - 04/01/2021 14:00:00","BZN|SE4","Without Sequence","57.99","",""
"04/01/2021 14:00:00 - 04/01/2021 15:00:00","BZN|SE4","Without Sequence","58.03","",""
"04/01/2021 15:00:00 - 04/01/2021 16:00:00","BZN|SE4","Without Sequence","60.50","",""
"04/01/2021 16:00:00 - 04/01/2021 17:00:00","BZN|SE4","Without Sequence","65.22","",""
"04/01/2021 17:00:00 - 04/01/2021 18:00:00","BZN|SE4","Without Sequence","60.05","",""
"04/01/2021 18:00:00 - 04/01/2021 19:00:00","BZN|SE4","Without Sequence","53.73","",""
"04/01/2021 19:00:00 - 04/01/2021 20:00:00","BZN|SE4","Without Sequence","37.68","",""
"04/01/2021 20:00:00 - 04/01/2021 21:00:00","BZN|SE4","Without Sequence","38.49","",""
"04/01/2021 21:00:00 - 04/01/2021 22:00:00","BZN|SE4","Without Sequence","30.95","",""
"04/01/2021 22:00:00 - 04/01/2021 23:00:00","BZN|SE4","Without Sequence","27.35","",""
"04/01/2021 23:00:00 - 05/01/2021 00:00:00","BZN|SE4","Without Sequence","27.81","",""
