datetime,temperature_2m,wind_speed_10m,cloud_cover,shortwave_radiation,solar_proxy
2022-01-01 00:00:00,3.0857142857142854,11.700000000000001,100.0,0.0,0.0
2022-01-01 01:00:00,3.142857142857143,12.257142857142856,100.0,0.0,0.0
2022-01-01 02:00:00,3.185714285714286,13.514285714285714,100.0,0.0,0.0
2022-01-01 03:00:00,3.1285714285714286,14.057142857142859,100.0,0.0,0.0
2022-01-01 04:00:00,3.3857142857142857,14.857142857142858,100.0,0.0,0.0
2022-01-01 05:00:00,3.5142857142857147,14.928571428571429,100.0,0.0,0.0
2022-01-01 06:00:00,3.585714285714286,15.357142857142858,100.0,0.0,0.0
2022-01-01 07:00:00,3.642857142857143,16.0,100.0,0.0,0.0
2022-01-01 08:00:00,3.6714285714285713,16.97142857142857,100.0,0.0,0.0
2022-01-01 09:00:00,3.642857142857143,17.32857142857143,100.0,0.0,0.0
2022-01-01 10:00:00,3.585714285714286,17.757142857142856,100.0,0.0,0.0
2022-01-01 11:00:00,3.6,17.757142857142856,100.0,5.0,0.0
2022-01-01 12:00:00,3.542857142857143,19.185714285714287,100.0,15.714285714285714,0.0
2022-01-01 13:00:00,3.457142857142857,20.97142857142857,100.0,25.857142857142858,0.0
2022-01-01 14:00:00,3.185714285714286,21.942857142857143,89.0,40.714285714285715,4.478571428571428
2022-01-01 15:00:00,2.7285714285714286,21.47142857142857,92.71428571428571,49.714285714285715,3.6220408163265354
2022-01-01 16:00:00,2.257142857142857,21.214285714285715,100.0,35.42857142857143,0.0
2022-01-01 17:00:00,1.5142857142857142,20.042857142857144,99.0,10.0,0.10000000000000009
2022-01-01 18:00:00,0.7999999999999999,18.985714285714288,100.0,0.0,0.0
2022-01-01 19:00:00,0.1571428571428571,18.385714285714283,94.14285714285714,0.0,0.0
2022-01-01 20:00:00,-0.6285714285714287,17.142857142857142,69.71428571428571,0.0,0.0
2022-01-01 21:00:00,-1.657142857142857,14.9,54.714285714285715,0.0,0.0
2022-01-01 22:00:00,-2.7142857142857144,11.728571428571428,44.285714285714285,0.0,0.0
2022-01-01 23:00:00,-3.414285714285714,9.585714285714285,31.571428571428573,0.0,0.0
2022-01-02 00:00:00,-4.2,7.914285714285714,19.0,0.0,0.0
2022-01-02 01:00:00,-4.985714285714286,7.757142857142857,47.0,0.0,0.0
2022-01-02 02:00:00,-4.614285714285714,6.214285714285714,94.14285714285714,0.0,0.0
2022-01-02 03:00:00,-4.214285714285714,5.571428571428571,91.42857142857143,0.0,0.0
2022-01-02 04:00:00,-4.285714285714286,5.8,93.71428571428571,0.0,0.0
2022-01-02 05:00:00,-4.414285714285714,7.257142857142858,100.0,0.0,0.0
2022-01-02 06:00:00,-3.957142857142857,8.0,100.0,0.0,0.0
2022-01-02 07:00:00,-3.542857142857143,10.314285714285715,100.0,0.0,0.0
2022-01-02 08:00:00,-3.1,13.714285714285714,100.0,0.0,0.0
2022-01-02 09:00:00,-2.685714285714286,15.442857142857141,100.0,0.0,0.0
2022-01-02 10:00:00,-2.3000000000000003,16.67142857142857,100.0,0.0,0.0
2022-01-02 11:00:00,-1.7428571428571427,19.342857142857145,100.0,3.7142857142857144,0.0
2022-01-02 12:00:00,-1.1428571428571428,21.614285714285717,100.0,12.142857142857142,0.0
2022-01-02 13:00:00,-0.557142857142857,23.185714285714287,100.0,15.857142857142858,0.0
2022-01-02 14:00:00,0.0714285714285715,22.12857142857143,100.0,19.857142857142858,0.0
2022-01-02 15:00:00,-0.1857142857142857,22.5,100.0,14.428571428571429,0.0
2022-01-02 16:00:00,0.6000000000000002,20.17142857142857,100.0,12.857142857142858,0.0
2022-01-02 17:00:00,1.1857142857142857,18.714285714285715,100.0,3.857142857142857,0.0
2022-01-02 18:00:00,1.7,17.34285714285714,100.0,0.0,0.0
2022-01-02 19:00:00,2.1285714285714286,15.6,100.0,0.0,0.0
2022-01-02 20:00:00,2.4857142857142853,14.799999999999999,100.0,0.0,0.0
2022-01-02 21:00:00,2.6571428571428575,13.271428571428572,100.0,0.0,0.0
2022-01-02 22:00:00,2.7285714285714286,12.285714285714286,100.0,0.0,0.0
2022-01-02 23:00:00,2.8285714285714287,11.471428571428572,100.0,0.0,0.0
2022-01-03 00:00:00,2.8428571428571425,10.985714285714286,100.0,0.0,0.0
2022-01-03 01:00:00,2.957142857142857,10.9,100.0,0.0,0.0
2022-01-03 02:00:00,3.1142857142857143,11.328571428571427,100.0,0.0,0.0
2022-01-03 03:00:00,2.757142857142857,11.028571428571428,100.0,0.0,0.0
2022-01-03 04:00:00,3.1,12.042857142857143,100.0,0.0,0.0
2022-01-03 05:00:00,3.1285714285714286,12.485714285714284,100.0,0.0,0.0
2022-01-03 06:00:00,3.3000000000000003,14.642857142857142,100.0,0.0,0.0
2022-01-03 07:00:00,2.914285714285714,13.971428571428572,100.0,0.0,0.0
2022-01-03 08:00:00,2.6714285714285713,13.985714285714286,100.0,0.0,0.0
2022-01-03 09:00:00,2.4857142857142853,13.885714285714286,100.0,0.0,0.0
2022-01-03 10:00:00,2.3857142857142857,13.557142857142859,100.0,0.0,0.0
2022-01-03 11:00:00,2.4285714285714284,13.485714285714286,100.0,8.857142857142858,0.0
2022-01-03 12:00:00,2.742857142857143,14.714285714285714,100.0,19.142857142857142,0.0
2022-01-03 13:00:00,2.9857142857142853,15.642857142857142,100.0,29.142857142857142,0.0
2022-01-03 14:00:00,3.1999999999999997,15.428571428571429,100.0,36.57142857142857,0.0
2022-01-03 15:00:00,3.4,13.828571428571431,100.0,28.428571428571427,0.0
