datetime,price,hour,minute,weekday,month,dayofyear,weekofyear,is_weekend,hour_week,is_peak_hour,lag_1,lag_4,lag_8,lag_96,lag_192,lag_672,price_diff_1,price_diff_24h,trend_24h,trend_7d,rolling_mean_24h,rolling_mean_7d,rolling_std_24h,rolling_min_24h,rolling_max_24h,price_vs_mean24h,price_vs_mean7d,price_spike_flag,trend_short,trend_medium,price_zscore_24h,range_position_24h,consumption_mw_lag_1,consumption_mw_lag_24h,consumption_mw_lag_48h,consumption_mw_lag_7d,consumption_mw_rolling_mean_24h,consumption_mw_rolling_std_24h,production_total_mw_lag_1,production_total_mw_lag_24h,production_total_mw_lag_48h,production_total_mw_lag_7d,production_total_mw_rolling_mean_24h,production_total_mw_rolling_std_24h,net_load_mw_lag_1,net_load_mw_lag_24h,net_load_mw_lag_48h,net_load_mw_lag_7d,net_load_mw_rolling_mean_24h,net_load_mw_rolling_std_24h,consumption_diff_24h,production_diff_24h,net_load_diff_24h,flow_lt_lv_lag_1,flow_lt_lv_lag_24h,flow_lt_lv_lag_48h,flow_lt_lv_lag_7d,flow_lt_lv_rolling_mean_24h,flow_lt_lv_rolling_std_24h,flow_lt_se_lag_1,flow_lt_se_lag_24h,flow_lt_se_lag_48h,flow_lt_se_lag_7d,flow_lt_se_rolling_mean_24h,flow_lt_se_rolling_std_24h,flow_lt_pl_lag_1,flow_lt_pl_lag_24h,flow_lt_pl_lag_48h,flow_lt_pl_lag_7d,flow_lt_pl_rolling_mean_24h,flow_lt_pl_rolling_std_24h,flow_total_lag_1,flow_total_lag_24h,flow_total_lag_48h,flow_total_lag_7d,flow_total_rolling_mean_24h,flow_total_rolling_std_24h,flow_abs_total_lag_1,flow_abs_total_lag_24h,flow_abs_total_lag_48h,flow_abs_total_lag_7d,flow_abs_total_rolling_mean_24h,flow_abs_total_rolling_std_24h,flow_total_diff_24h,flow_abs_total_diff_24h,lv_price_lag_24h,lv_price_lag_48h,lv_price_lag_7d,lv_price_rolling_mean_24h,lv_price_rolling_std_24h,lv_price_diff_24h,ee_price_lag_24h,ee_price_lag_48h,ee_price_lag_7d,ee_price_rolling_mean_24h,ee_price_rolling_std_24h,ee_price_diff_24h,se4_price_lag_24h,se4_price_lag_48h,se4_price_lag_7d,se4_price_rolling_mean_24h,se4_price_rolling_std_24h,se4_price_diff_24h,pl_price_lag_24h,pl_price_lag_48h,pl_price_lag_7d,pl_price_rolling_mean_24h,pl_price_rolling_std_24h,pl_price_diff_24h,spread_lv,spread_ee,spread_se4,spread_pl
2025-10-08 00:00:00,209.7,0,0,2,10,281,41,0,48,0,95.37,284.41,483.1,149.54,5.0,121.0,-114.34,-54.16999999999999,-54.16999999999999,-25.629999999999995,291.38625,119.09967261904761,276.7959944197929,77.13,1173.65,0.327297529216641,0.8007578618985189,0,-189.02999999999997,-189.02999999999997,-0.7081614374612568,0.016634443497032032,1209.021,1116.9540000000002,1027.72325,1122.283,1368.4833437500001,220.17118636766685,551.4137499999999,438.3755,740.74975,708.85875,863.4850312499999,284.70436498883595,657.60725,678.5785000000002,286.97350000000006,413.4242499999999,504.99831249999994,243.79522153932112,92.06699999999978,113.03824999999995,-20.97125000000017,-528.05,-508.05,146.225,-70.32499999999999,-491.26354166666664,53.11927788584976,0.0,0.0,-605.35,-698.35,0.0,0.0,-116.05,-155.0,184.0,-149.45,-112.63020833333333,73.93621930569168,-644.1,-663.05,-275.125,-918.125,-603.8937500000001,99.08855907456578,644.1,663.05,935.575,918.125,620.0416666666666,77.51767257473061,18.949999999999932,-18.949999999999932,91.47,26.22,80.99,291.85791666666665,276.9550789299371,-5.969999999999999,91.47,6.44,72.59,175.62,175.5007913252515,-70.73,91.73,6.91,52.53,103.20427083333334,63.82976000754363,-61.830000000000005,106.27,31.45,100.39,140.65895833333332,56.57318281341741,1.8100000000000023,9.870000000000005,74.63000000000001,65.47,-12.709999999999994
2025-10-08 00:15:00,98.43,0,15,2,10,281,41,0,48,0,209.7,284.4,290.0,157.92,4.21,105.89,114.32999999999998,51.78,51.78,103.80999999999999,292.0129166666667,119.23166666666665,276.53945610904725,77.13,1173.65,0.7181189163671621,1.758760940811913,0,-0.010000000000019327,0.0,-0.29765342539964706,0.12090066745622452,1138.52025,1116.9540000000002,1027.72325,1122.283,1368.7079921875,219.92270276089133,579.1465000000001,438.3755,740.74975,708.85875,864.9513958333333,282.8482675316294,559.37375,678.5785000000002,286.97350000000006,413.4242499999999,503.7565963541667,243.20467971955506,21.566249999999854,140.77100000000007,-119.20475000000022,-536.45,-508.05,146.225,-70.32499999999999,-491.55937500000005,53.292549994051825,0.0,0.0,-605.35,-698.35,0.0,0.0,-29.6,-155.0,184.0,-149.45,-111.32395833333334,74.28668807545087,-566.05,-663.05,-275.125,-918.125,-602.8833333333333,98.97347961280684,568.0999999999999,663.05,935.575,918.125,619.0526041666666,77.56887037363185,97.0,-94.95000000000005,90.1,31.18,80.33,291.83437499999997,276.9723870630332,-0.8900000000000006,72.8,8.0,72.59,174.88354166666667,176.00524421600363,-52.03,87.24,8.63,52.62,102.55406249999999,64.26431876617278,-57.92999999999999,106.27,31.18,99.77,140.6659375,56.5689369210258,0.6700000000000017,120.49,188.92999999999998,180.39,102.75999999999999
2025-10-08 00:30:00,93.57,0,30,2,10,281,41,0,48,0,98.43,209.71,284.4,106.76,4.06,94.67,-111.26999999999998,-8.329999999999998,-8.329999999999998,3.760000000000005,291.39322916666663,119.22056547619047,276.909510104483,77.13,1173.65,0.33779096358450583,0.8256125843828921,0,3.0600000000000023,-185.98000000000002,-0.696845797737363,0.019425090267915696,1138.52025,1116.9540000000002,1027.72325,1122.283,1368.932640625,219.67370592873058,579.1465000000001,438.3755,740.74975,708.85875,866.4177604166667,280.9721760771215,559.37375,678.5785000000002,286.97350000000006,413.4242499999999,502.5148802083333,242.60627826050424,21.566249999999854,140.77100000000007,-119.20475000000022,-536.45,-508.05,146.225,-70.32499999999999,-491.85520833333334,53.46360640126998,0.0,0.0,-605.35,-698.35,0.0,0.0,-29.6,-155.0,184.0,-149.45,-110.01770833333335,74.61240530380545,-566.05,-663.05,-275.125,-918.125,-601.8729166666666,98.84782960018238,568.0999999999999,663.05,935.575,918.125,618.0635416666667,77.60729770323073,97.0,-94.95000000000005,89.78,28.76,81.57,291.81395833333335,276.9874860159386,-1.6400000000000006,72.8,10.21,72.59,174.34218750000002,176.40201333260356,-51.97,87.33,10.54,52.55,101.95197916666666,64.67872818167936,-57.89,106.27,28.76,98.55,140.67229166666667,56.56506681837,0.6099999999999994,10.290000000000006,77.60000000000001,68.99000000000001,-8.449999999999989
2025-10-08 00:45:00,90.11,0,45,2,10,281,41,0,48,0,93.57,95.37,209.7,101.54,3.46,74.42,-4.860000000000014,-7.970000000000013,-7.970000000000013,19.14999999999999,291.2558333333333,119.21892857142856,277.00534068827,77.13,1173.65,0.32126395069192676,0.7848585819078225,0,-116.13,-190.82999999999998,-0.7136535062049473,0.01499288657298281,1138.52025,1116.9540000000002,1027.72325,1122.283,1369.1572890625,219.42419412400042,579.1465000000001,438.3755,740.74975,708.85875,867.8841249999999,279.0756873955568,559.37375,678.5785000000002,286.97350000000006,413.4242499999999,501.27316406250003,241.99995885779038,21.566249999999854,140.77100000000007,-119.20475000000022,-536.45,-508.05,146.225,-70.32499999999999,-492.1510416666666,53.6324683079041,0.0,0.0,-605.35,-698.35,0.0,0.0,-29.6,-155.0,184.0,-149.45,-108.71145833333333,74.91369384311078,-566.05,-663.05,-275.125,-918.125,-600.8625000000001,98.71156867091976,568.0999999999999,663.05,935.575,918.125,617.0744791666667,77.63297352718676,97.0,-94.95000000000005,90.01,24.5,82.09,291.78489583333334,277.00905279523863,-3.0200000000000102,72.8,9.92,72.59,173.80083333333334,176.79621694372884,-51.97,87.11,10.15,52.76,101.35031249999999,65.08356530286966,-57.54,107.21,24.5,99.0,140.67999999999998,56.560379567698284,-0.19999999999998863,6.579999999999998,72.74,63.99999999999999,-13.440000000000012
2025-10-08 01:00:00,218.11,1,0,2,10,281,41,0,49,0,90.11,209.7,284.41,188.48,29.91,98.95,-3.4599999999999937,-98.36999999999999,-98.36999999999999,-8.840000000000003,291.1367708333333,119.24227678571428,277.09018617541443,77.13,1173.65,0.30951088532226073,0.7556883487409828,0,-8.320000000000007,-119.60000000000001,-0.7254922048396881,0.011837449374532662,1138.52025,1086.8607499999998,988.06425,1079.6135,1369.3819375,219.1741655879388,579.1465000000001,458.255,867.55875,722.01475,869.3504895833333,277.15838277600943,559.37375,628.6057499999998,120.50549999999998,357.5987499999999,500.03144791666665,241.38566184586938,51.65950000000021,120.89150000000006,-69.23199999999986,-536.45,-455.05,53.275000000000006,-115.85,-492.44687500000003,53.79915637790036,0.0,0.0,-676.65,-700.0,0.0,0.0,-29.6,-154.0,124.57500000000002,-56.15,-107.40520833333333,75.1908473500554,-566.05,-609.05,-498.7999999999999,-872.0,-599.8520833333333,98.56465281777103,568.0999999999999,609.05,854.5,872.0,616.0854166666667,77.64591049544272,43.0,-40.950000000000045,88.78,10.34,88.95,291.7420833333333,277.04088169121457,-2.8799999999999955,70.73,10.06,88.95,173.25947916666667,177.18787217241768,-49.900000000000006,89.11,10.43,46.64,100.74895833333335,65.48201184060387,-59.730000000000004,106.27,24.02,93.57,140.67885416666667,56.56106587006164,0.8299999999999983,4.209999999999994,69.28,60.730000000000004,-16.989999999999995
2025-10-08 01:15:00,218.1,1,15,2,10,281,41,0,49,0,218.11,98.43,284.4,162.96,20.76,89.44,128.0,55.150000000000006,55.150000000000006,128.67000000000002,291.44541666666663,119.41959821428571,276.99111942031504,77.13,1173.65,0.7483734064038634,1.826417116076775,0,124.54000000000002,122.74000000000001,-0.2647572837547469,0.12857038619581004,1090.421,1086.8607499999998,988.06425,1079.6135,1369.4190234375,219.12615359627495,574.19375,458.255,867.55875,722.01475,870.5581848958333,275.5964068451703,516.22725,628.6057499999998,120.50549999999998,357.5987499999999,498.8608385416666,241.02779894872262,3.5602500000002237,115.93875000000003,-112.3784999999998,-638.9000000000001,-455.05,53.275000000000006,-115.85,-494.3619791666667,55.692867938360436,0.0,0.0,-676.65,-700.0,0.0,0.0,-117.4,-154.0,124.57500000000002,-56.15,-107.02395833333333,75.0447517289613,-756.3000000000001,-609.05,-498.7999999999999,-872.0,-601.3859375000001,99.84670426607018,756.3000000000001,609.05,854.5,872.0,617.6192708333333,78.9489559844923,-147.2500000000001,147.2500000000001,89.05,10.4,88.93,291.7238541666667,277.0544343260469,-2.019999999999996,72.79,10.14,88.93,172.73968749999997,177.56460673558928,-51.96000000000001,86.49,10.48,46.8,100.12645833333333,65.87668411076736,-57.13999999999999,106.27,21.81,93.68,140.68510416666666,56.55725668912484,0.6000000000000085,131.08,197.28000000000003,188.76000000000002,111.24000000000001
2025-10-08 01:30:00,130.98,1,30,2,10,281,41,0,49,0,218.1,93.57,209.71,157.95,20.63,81.79,-0.010000000000019327,60.150000000000006,60.150000000000006,136.31,292.01979166666666,119.61105654761906,276.77897317831116,77.13,1173.65,0.7468671832424583,1.823410013017993,0,127.99,8.400000000000006,-0.26707155731795157,0.12856126643512086,1090.421,1086.8607499999998,988.06425,1079.6135,1369.4561093749999,219.07812473850217,574.19375,458.255,867.55875,722.01475,871.7658802083333,274.0201489437167,516.22725,628.6057499999998,120.50549999999998,357.5987499999999,497.6902291666667,240.66365011312095,3.5602500000002237,115.93875000000003,-112.3784999999998,-638.9000000000001,-455.05,53.275000000000006,-115.85,-496.27708333333334,57.459806737849135,0.0,0.0,-676.65,-700.0,0.0,0.0,-117.4,-154.0,124.57500000000002,-56.15,-106.64270833333335,74.89641003242846,-756.3000000000001,-609.05,-498.7999999999999,-872.0,-602.9197916666667,101.08898541674927,756.3000000000001,609.05,854.5,872.0,619.1531249999999,80.20120284322198,-147.2500000000001,147.2500000000001,89.92,10.89,90.21,291.7071875,277.06680269415966,-2.469999999999999,72.79,10.54,90.21,172.19843750000004,177.9512499317432,-51.96000000000001,87.34,10.99,46.71,99.53208333333333,66.25732806210819,-57.910000000000004,106.27,19.09,95.44,140.69197916666667,56.55306917297917,0.6600000000000108,130.64999999999998,197.26999999999998,188.67,111.16999999999999
2025-10-08 01:45:00,89.2,1,45,2,10,281,41,0,49,0,130.98,90.11,95.37,152.99,20.75,80.92,-87.12,-22.01000000000002,-22.01000000000002,50.05999999999999,291.73885416666667,119.68425595238094,276.93013612545434,77.13,1173.65,0.44896316579145,1.094379522714615,0,-87.13000000000002,32.54999999999998,-0.5805032844577693,0.04910991131113895,1090.421,1086.8607499999998,988.06425,1079.6135,1369.4931953125,219.03007900352534,574.19375,458.255,867.55875,722.01475,872.9735755208334,272.4293611682066,516.22725,628.6057499999998,120.50549999999998,357.5987499999999,496.5196197916666,240.29318676126246,3.5602500000002237,115.93875000000003,-112.3784999999998,-638.9000000000001,-455.05,53.275000000000006,-115.85,-498.1921875,59.111342231654056,0.0,0.0,-676.65,-700.0,0.0,0.0,-117.4,-154.0,124.57500000000002,-56.15,-106.26145833333334,74.74580888766918,-756.3000000000001,-609.05,-498.7999999999999,-872.0,-604.4536458333333,102.29294523310368,756.3000000000001,609.05,854.5,872.0,620.6869791666667,81.40499539979906,-147.2500000000001,147.2500000000001,92.4,20.63,92.03,291.6765625,277.0895031529214,-5.420000000000002,92.4,10.4,92.03,171.6571875,178.33539488516766,-71.57000000000001,89.31,10.81,46.71,98.92927083333335,66.63161478559866,-59.84,106.27,21.38,92.03,140.70072916666666,56.5477520097612,0.8400000000000034,43.999999999999986,110.14999999999999,101.50999999999999,23.86999999999999
2025-10-08 02:00:00,189.99,2,0,2,10,281,41,0,50,0,89.2,218.11,209.7,100.0,20.7,88.71,-41.77999999999999,-10.799999999999997,-10.799999999999997,0.4900000000000091,291.07437500000003,119.69657738095236,277.34278398595285,77.13,1173.65,0.3064508845670427,0.7452176261555914,0,-128.89999999999998,-4.36999999999999,-0.7278876030981833,0.011007551151818895,1090.421,1075.72725,979.59125,1062.241,1369.5302812500001,218.9820163802356,574.19375,494.369,887.57825,682.42675,874.1812708333333,270.8237874783343,516.22725,581.3582499999999,92.01299999999992,379.81425,495.34901041666666,239.91637964174646,14.693750000000136,79.82475,-65.13099999999986,-638.9000000000001,-420.5,54.525,-115.15,-500.10729166666664,60.65690158118797,0.0,0.0,-670.625,-700.0,0.0,0.0,-117.4,-151.975,129.4,-28.1,-105.88020833333333,74.59293460938767,-756.3000000000001,-572.475,-486.7000000000001,-843.25,-605.9875000000001,103.45992155622912,756.3000000000001,572.475,854.55,843.25,622.2208333333333,82.56245312892725,-183.82500000000005,183.82500000000005,87.51,13.72,87.54,291.6226041666667,277.12921876852346,-0.29000000000000625,72.79,9.73,72.59,170.74760416666666,178.96546489400095,-67.71000000000001,84.86,10.97,46.81,98.32197916666667,66.98495041692172,-53.849999999999994,106.27,13.72,101.64,140.70781250000002,56.54343614385266,0.6800000000000068,1.980000000000004,84.12,58.19,-17.75
2025-10-08 02:15:00,89.07,2,15,2,10,281,41,0,50,0,189.99,218.1,98.43,95.03,20.7,82.89,100.79,94.96000000000001,94.96000000000001,107.10000000000001,292.01177083333334,119.84729166666668,276.84179714849785,77.13,1173.65,0.6506244553333878,1.5852673495797893,0,59.01000000000002,99.88000000000001,-0.3685201133486674,0.10292561913788566,1066.8512500000002,1075.72725,979.59125,1062.241,1369.4378229166666,219.10920820526655,612.891,494.369,887.57825,682.42675,875.415875,269.3402013086207,453.9602500000002,581.3582499999999,92.01299999999992,379.81425,494.02194791666665,239.78793154796722,-8.875999999999749,118.52199999999993,-127.39799999999968,-574.625,-420.5,54.525,-115.15,-501.71276041666664,60.56730032247287,0.0,0.0,-670.625,-700.0,0.0,0.0,-84.475,-151.975,129.4,-28.1,-105.17708333333333,74.47189876819569,-659.1,-572.475,-486.7000000000001,-843.25,-606.8898437500001,103.54228449604332,659.1,572.475,854.55,843.25,623.1231770833333,82.48638374435254,-86.625,86.625,89.53,20.63,89.84,291.6033333333333,277.14362557181005,-3.8700000000000045,89.53,13.97,72.6,170.20645833333333,179.34292524586974,-68.69,86.7,17.96,50.59,97.72302083333334,67.36259916725295,-59.34,106.27,20.63,99.77,140.71677083333333,56.53799049721095,0.8599999999999994,104.33000000000001,169.15,162.63,82.86000000000001
