weights,w_XGBoost,w_LightGBM,w_CatBoost,w_MLP,w_LSTM,mae,rmse,r2,smape
"{""XGBoost"": 0.2, ""LightGBM"": 0.0, ""CatBoost"": 0.8, ""MLP"": 0.0, ""LSTM"": 0.0}",0.2,0.0,0.8,0.0,0.0,11.016892205941858,22.031878116330574,0.880381899854077,19.40770741307051
"{""XGBoost"": 0.0, ""LightGBM"": 0.35000000000000003, ""CatBoost"": 0.65, ""MLP"": 0.0, ""LSTM"": 0.0}",0.0,0.35000000000000003,0.65,0.0,0.0,11.01840174230959,21.87156309279927,0.8821163692646956,19.12231502028512
"{""XGBoost"": 0.2, ""LightGBM"": 0.1, ""CatBoost"": 0.7000000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.2,0.1,0.7000000000000001,0.0,0.0,11.024293239633302,22.015626933244437,0.8805583004942253,19.41150306138689
"{""XGBoost"": 0.15000000000000002, ""LightGBM"": 0.2, ""CatBoost"": 0.65, ""MLP"": 0.0, ""LSTM"": 0.0}",0.15000000000000002,0.2,0.65,0.0,0.0,11.026184652704586,21.975140243216362,0.880997202603803,19.34488581491155
"{""XGBoost"": 0.0, ""LightGBM"": 0.0, ""CatBoost"": 1.0, ""MLP"": 0.0, ""LSTM"": 0.0}",0.0,0.0,1.0,0.0,0.0,11.03014162736141,21.95850341811126,0.8811773224361378,19.15520935433614
"{""XGBoost"": 0.2, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.65, ""MLP"": 0.0, ""LSTM"": 0.0}",0.2,0.15000000000000002,0.65,0.0,0.0,11.046660522255046,22.02170495041673,0.8804923410814262,19.45761683798306
"{""XGBoost"": 0.25, ""LightGBM"": 0.0, ""CatBoost"": 0.75, ""MLP"": 0.0, ""LSTM"": 0.0}",0.25,0.0,0.75,0.0,0.0,11.047703642800382,22.076523830151128,0.8798966169920204,19.545443492988284
"{""XGBoost"": 0.25, ""LightGBM"": 0.05, ""CatBoost"": 0.7000000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.25,0.05,0.7000000000000001,0.0,0.0,11.05459694069461,22.070653325633945,0.8799604833609728,19.54872185443448
"{""XGBoost"": 0.0, ""LightGBM"": 0.2, ""CatBoost"": 0.75, ""MLP"": 0.05, ""LSTM"": 0.0}",0.0,0.2,0.75,0.05,0.0,11.06152233376977,21.90700724579864,0.8817339849783341,19.362488584287377
"{""XGBoost"": 0.0, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.8, ""MLP"": 0.05, ""LSTM"": 0.0}",0.0,0.15000000000000002,0.8,0.05,0.0,11.062142996063125,21.918475048888926,0.8816101336151452,19.333801144384193
