loss,mae,val_loss,val_mae,learning_rate
0.5172068476676941,0.5172068476676941,0.3624849021434784,0.3624849021434784,0.0003000000142492354
0.3569267988204956,0.3569267988204956,0.31646665930747986,0.31646665930747986,0.0003000000142492354
0.3009301424026489,0.3009301424026489,0.28364086151123047,0.28364086151123047,0.0003000000142492354
0.2759898900985718,0.2759898900985718,0.27013087272644043,0.27013087272644043,0.0003000000142492354
0.25749441981315613,0.25749441981315613,0.2571544647216797,0.2571544647216797,0.0003000000142492354
0.24597974121570587,0.24597974121570587,0.241514191031456,0.241514191031456,0.0003000000142492354
0.2333807647228241,0.2333807647228241,0.23889772593975067,0.23889772593975067,0.0003000000142492354
0.22222685813903809,0.22222685813903809,0.23097644746303558,0.23097644746303558,0.0003000000142492354
0.21565397083759308,0.21565397083759308,0.22362498939037323,0.22362498939037323,0.0003000000142492354
0.2099153995513916,0.2099153995513916,0.2226077914237976,0.2226077914237976,0.0003000000142492354
0.205509752035141,0.205509752035141,0.21626901626586914,0.21626901626586914,0.0003000000142492354
0.20028287172317505,0.20028287172317505,0.20922686159610748,0.20922686159610748,0.0003000000142492354
0.19764770567417145,0.19764770567417145,0.20702308416366577,0.20702308416366577,0.0003000000142492354
0.19259124994277954,0.19259124994277954,0.20812124013900757,0.20812124013900757,0.0003000000142492354
0.18864400684833527,0.18864400684833527,0.20240244269371033,0.20240244269371033,0.0003000000142492354
0.18818305432796478,0.18818305432796478,0.2001480907201767,0.2001480907201767,0.0003000000142492354
0.18600274622440338,0.18600274622440338,0.2017354667186737,0.2017354667186737,0.0003000000142492354
0.1817401945590973,0.1817401945590973,0.19936296343803406,0.19936296343803406,0.0003000000142492354
0.18079042434692383,0.18079042434692383,0.20072291791439056,0.20072291791439056,0.0003000000142492354
0.17809921503067017,0.17809921503067017,0.19759505987167358,0.19759505987167358,0.0003000000142492354
0.1789044588804245,0.1789044588804245,0.19899438321590424,0.19899438321590424,0.0003000000142492354
0.1763589233160019,0.1763589233160019,0.20161782205104828,0.20161782205104828,0.0003000000142492354
0.17300787568092346,0.17300787568092346,0.20361140370368958,0.20361140370368958,0.0003000000142492354
0.17400924861431122,0.17400924861431122,0.2076462209224701,0.2076462209224701,0.0003000000142492354
0.1714414358139038,0.1714414358139038,0.21202901005744934,0.21202901005744934,0.0003000000142492354
0.1684277057647705,0.1684277057647705,0.2122752070426941,0.2122752070426941,0.0001500000071246177
0.16886219382286072,0.16886219382286072,0.21106800436973572,0.21106800436973572,0.0001500000071246177
0.168252632021904,0.168252632021904,0.2118670642375946,0.2118670642375946,0.0001500000071246177
0.16578920185565948,0.16578920185565948,0.21329249441623688,0.21329249441623688,0.0001500000071246177
0.1664000302553177,0.1664000302553177,0.2130216360092163,0.2130216360092163,0.0001500000071246177
0.16452950239181519,0.16452950239181519,0.2106941044330597,0.2106941044330597,7.500000356230885e-05
0.16407732665538788,0.16407732665538788,0.21020488440990448,0.21020488440990448,7.500000356230885e-05
0.16418902575969696,0.16418902575969696,0.21223567426204681,0.21223567426204681,7.500000356230885e-05
0.16378335654735565,0.16378335654735565,0.21072596311569214,0.21072596311569214,7.500000356230885e-05
0.1626548022031784,0.1626548022031784,0.21158982813358307,0.21158982813358307,7.500000356230885e-05
