weights,w_XGBoost,w_LightGBM,w_CatBoost,w_MLP,w_LSTM,mae,rmse,r2,smape
"{""XGBoost"": 0.45, ""LightGBM"": 0.2, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.30000000000000004}",0.45,0.2,0.0,0.05,0.30000000000000004,5.977712711883568,8.936225295426604,0.9787044656158973,14.97699652346102
"{""XGBoost"": 0.5, ""LightGBM"": 0.2, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.30000000000000004}",0.5,0.2,0.0,0.0,0.30000000000000004,5.980183195797174,8.937710840686796,0.9786973847492808,14.945149406458583
"{""XGBoost"": 0.5, ""LightGBM"": 0.2, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.25}",0.5,0.2,0.0,0.05,0.25,5.981197145739474,9.125145458822661,0.9777945327661232,14.764637811708386
"{""XGBoost"": 0.65, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.2}",0.65,0.15000000000000002,0.0,0.0,0.2,5.981598122955512,9.30444594184046,0.9769133266761543,14.423264302894031
"{""XGBoost"": 0.5, ""LightGBM"": 0.25, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.25}",0.5,0.25,0.0,0.0,0.25,5.9835289849104445,9.169249591054815,0.9775793647784052,14.664812233150231
"{""XGBoost"": 0.6000000000000001, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.35000000000000003}",0.6000000000000001,0.0,0.0,0.05,0.35000000000000003,5.988688449029759,8.649714829930355,0.9800481163822192,15.389851931345847
"{""XGBoost"": 0.4, ""LightGBM"": 0.25, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.30000000000000004}",0.4,0.25,0.0,0.05,0.30000000000000004,5.991331890151004,8.987090936040177,0.9784613442037994,14.939518801044718
"{""XGBoost"": 0.45, ""LightGBM"": 0.25, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.30000000000000004}",0.45,0.25,0.0,0.0,0.30000000000000004,5.992075156009727,8.983702906625409,0.9784775807913246,14.88462680982526
"{""XGBoost"": 0.6000000000000001, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.2}",0.6000000000000001,0.15000000000000002,0.0,0.05,0.2,5.992726956417624,9.307603511157492,0.9768976545681926,14.608733946752741
"{""XGBoost"": 0.65, ""LightGBM"": 0.0, ""CatBoost"": 0.05, ""MLP"": 0.05, ""LSTM"": 0.25}",0.65,0.0,0.05,0.05,0.25,5.993296916086155,9.117242040148454,0.9778329810525769,14.968934531063413
"{""XGBoost"": 0.55, ""LightGBM"": 0.05, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.35000000000000003}",0.55,0.05,0.0,0.05,0.35000000000000003,5.994443931567984,8.676721597769784,0.9799233314394301,15.335565037968943
"{""XGBoost"": 0.6000000000000001, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.1, ""LSTM"": 0.30000000000000004}",0.6000000000000001,0.0,0.0,0.1,0.30000000000000004,5.994620575369045,8.828437765977153,0.9792150950159885,15.388722808755615
"{""XGBoost"": 0.65, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.35000000000000003}",0.65,0.0,0.0,0.0,0.35000000000000003,5.99526441025595,8.676419273269392,0.9799247304846755,14.96672890458729
"{""XGBoost"": 0.7000000000000001, ""LightGBM"": 0.0, ""CatBoost"": 0.05, ""MLP"": 0.0, ""LSTM"": 0.25}",0.7000000000000001,0.0,0.05,0.0,0.25,5.996616729852006,9.12866490993822,0.9777774007373333,14.77052583730253
"{""XGBoost"": 0.6000000000000001, ""LightGBM"": 0.2, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.2}",0.6000000000000001,0.2,0.0,0.0,0.2,5.997007264544844,9.34780808049514,0.9766976404861385,14.440443373445738
"{""XGBoost"": 0.45, ""LightGBM"": 0.25, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.25}",0.45,0.25,0.0,0.05,0.25,5.997380891878213,9.177276469057983,0.9775400929765199,14.725748885873388
"{""XGBoost"": 0.45, ""LightGBM"": 0.30000000000000004, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.25}",0.45,0.30000000000000004,0.0,0.0,0.25,5.998014519396378,9.221830104265642,0.977321487919993,14.594494496052349
"{""XGBoost"": 0.7000000000000001, ""LightGBM"": 0.0, ""CatBoost"": 0.05, ""MLP"": 0.05, ""LSTM"": 0.2}",0.7000000000000001,0.0,0.05,0.05,0.2,5.999441482374236,9.342450934168099,0.9767243415861038,14.768734584584188
"{""XGBoost"": 0.6000000000000001, ""LightGBM"": 0.05, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.35000000000000003}",0.6000000000000001,0.05,0.0,0.0,0.35000000000000003,6.001544230362244,8.698318477291712,0.9798232629960282,15.244313766889809
"{""XGBoost"": 0.6000000000000001, ""LightGBM"": 0.05, ""CatBoost"": 0.05, ""MLP"": 0.05, ""LSTM"": 0.25}",0.6000000000000001,0.05,0.05,0.05,0.25,6.001647908612891,9.151018262381601,0.9776684345755683,14.907902483780777
"{""XGBoost"": 0.5, ""LightGBM"": 0.1, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.35000000000000003}",0.5,0.1,0.0,0.05,0.35000000000000003,6.002130415544683,8.709406151660026,0.97977179197369,15.28832615640171
"{""XGBoost"": 0.65, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.1, ""LSTM"": 0.25}",0.65,0.0,0.0,0.1,0.25,6.003561073172618,9.01499190897145,0.9783274004618753,15.26265414291838
"{""XGBoost"": 0.65, ""LightGBM"": 0.05, ""CatBoost"": 0.05, ""MLP"": 0.0, ""LSTM"": 0.25}",0.65,0.05,0.05,0.0,0.25,6.003635775173,9.157626206527267,0.9776361717144664,14.80386891200681
"{""XGBoost"": 0.4, ""LightGBM"": 0.30000000000000004, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.30000000000000004}",0.4,0.30000000000000004,0.0,0.0,0.30000000000000004,6.004901621976934,9.035014529073578,0.9782310223104176,14.829250621684775
"{""XGBoost"": 0.55, ""LightGBM"": 0.05, ""CatBoost"": 0.0, ""MLP"": 0.1, ""LSTM"": 0.30000000000000004}",0.55,0.05,0.0,0.1,0.30000000000000004,6.006162594631947,8.862230268724304,0.9790556742415523,15.360404404689664
"{""XGBoost"": 0.75, ""LightGBM"": 0.0, ""CatBoost"": 0.05, ""MLP"": 0.0, ""LSTM"": 0.2}",0.75,0.0,0.05,0.0,0.2,6.006958662895776,9.348980175842962,0.9766917964852202,14.449037143201984
"{""XGBoost"": 0.35000000000000003, ""LightGBM"": 0.30000000000000004, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.30000000000000004}",0.35000000000000003,0.30000000000000004,0.0,0.05,0.30000000000000004,6.0071930825354,9.0432190749738,0.9781914682687506,14.90754900574412
"{""XGBoost"": 0.55, ""LightGBM"": 0.1, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.35000000000000003}",0.55,0.1,0.0,0.0,0.35000000000000003,6.008129053796189,8.725913364371069,0.9796950409844299,15.29077191269993
"{""XGBoost"": 0.65, ""LightGBM"": 0.05, ""CatBoost"": 0.05, ""MLP"": 0.05, ""LSTM"": 0.2}",0.65,0.05,0.05,0.05,0.2,6.008422372605288,9.377679087063598,0.9765484767315898,14.699820614660736
"{""XGBoost"": 0.8500000000000001, ""LightGBM"": 0.0, ""CatBoost"": 0.0, ""MLP"": 0.0, ""LSTM"": 0.15000000000000002}",0.8500000000000001,0.0,0.0,0.0,0.15000000000000002,6.008823216380949,9.465666831053973,0.9761063359984752,14.410546718881081
"{""XGBoost"": 0.55, ""LightGBM"": 0.2, ""CatBoost"": 0.0, ""MLP"": 0.05, ""LSTM"": 0.2}",0.55,0.2,0.0,0.05,0.2,6.010009901972376,9.355625199060926,0.9766586509240349,14.563357625694515
