weights,w_XGBoost,w_LightGBM,w_CatBoost,w_MLP,w_LSTM,mae,rmse,r2,smape
"{""XGBoost"": 0.05, ""LightGBM"": 0.1, ""CatBoost"": 0.8500000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.05,0.1,0.8500000000000001,0.0,0.0,10.982453172288496,21.80800716345299,0.8828004829686497,20.078450822492037
"{""XGBoost"": 0.05, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.8, ""MLP"": 0.0, ""LSTM"": 0.0}",0.05,0.15000000000000002,0.8,0.0,0.0,10.985749938201353,21.75782814583821,0.8833392016794112,20.110354443624875
"{""XGBoost"": 0.1, ""LightGBM"": 0.1, ""CatBoost"": 0.8, ""MLP"": 0.0, ""LSTM"": 0.0}",0.1,0.1,0.8,0.0,0.0,10.987319363056274,21.761655179043668,0.8832981586110682,20.196617260513637
"{""XGBoost"": 0.1, ""LightGBM"": 0.05, ""CatBoost"": 0.8500000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.1,0.05,0.8500000000000001,0.0,0.0,10.988512852730189,21.81421751668305,0.8827337227158552,20.176234556746817
"{""XGBoost"": 0.0, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.8500000000000001, ""MLP"": 0.0, ""LSTM"": 0.0}",0.0,0.15000000000000002,0.8500000000000001,0.0,0.0,10.991244489330144,21.8086437780421,0.8827936403432936,20.007528078525745
"{""XGBoost"": 0.05, ""LightGBM"": 0.05, ""CatBoost"": 0.9, ""MLP"": 0.0, ""LSTM"": 0.0}",0.05,0.05,0.9,0.0,0.0,10.992881567606405,21.868908118091085,0.8821449871609733,20.072071172370944
"{""XGBoost"": 0.0, ""LightGBM"": 0.2, ""CatBoost"": 0.8, ""MLP"": 0.0, ""LSTM"": 0.0}",0.0,0.2,0.8,0.0,0.0,10.995997457817397,21.760864218507567,0.8833066418696034,20.03901865724964
"{""XGBoost"": 0.0, ""LightGBM"": 0.1, ""CatBoost"": 0.9, ""MLP"": 0.0, ""LSTM"": 0.0}",0.0,0.1,0.9,0.0,0.0,10.998141094763849,21.867156887845567,0.8821638617200689,19.99358279694733
"{""XGBoost"": 0.15000000000000002, ""LightGBM"": 0.05, ""CatBoost"": 0.8, ""MLP"": 0.0, ""LSTM"": 0.0}",0.15000000000000002,0.05,0.8,0.0,0.0,10.999011781142803,21.77234169903709,0.8831835126645746,20.299572970360476
"{""XGBoost"": 0.1, ""LightGBM"": 0.15000000000000002, ""CatBoost"": 0.75, ""MLP"": 0.0, ""LSTM"": 0.0}",0.1,0.15000000000000002,0.75,0.0,0.0,10.999685470442323,21.719877104093854,0.8837458174093663,20.23897674991175
