n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,cv_smape_mean
500,0.03,63,10,30,0.9,0.8,0.0,3.0,15.157147531560119,1.0958915117721784,28.221044139623995,0.8346678155107851,27.616394577032953
500,0.03,31,6,20,0.8,0.6,0.1,3.0,15.281057501901797,1.0675539412283481,28.14534090620475,0.8354937066309581,28.328651680003166
500,0.03,31,8,20,0.8,0.8,0.0,1.0,15.284617550555305,0.9954675847742842,28.263264322075887,0.8340229776310245,28.292783456031184
300,0.05,63,10,20,0.9,0.8,0.0,1.0,15.30765308908663,0.9391801561862042,28.389876657731616,0.832533312347168,28.04072144210886
300,0.05,31,-1,20,0.8,0.8,0.0,0.0,15.329004655589939,0.9875304097876358,28.330374431450906,0.8331333906620717,28.30240154471595
700,0.02,31,8,40,0.8,0.8,0.1,5.0,15.337621103657552,0.9247831259923625,28.222006853524352,0.8343842526948144,28.167546207830537
