n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,cv_smape_mean
500,0.03,63,10,30,0.9,0.8,0.0,3.0,11.538538127214826,0.0765277604968905,23.22267403874541,0.8850382803113721,22.71235157159613
300,0.05,63,10,20,0.9,0.8,0.0,1.0,11.618694366945325,0.025798064793023354,23.738810528487097,0.8798315639858689,22.943552579592588
300,0.05,31,-1,20,0.8,0.8,0.0,0.0,11.828855491623969,0.16236836786584433,23.79449728312339,0.8790330027642278,23.300648420041483
500,0.03,31,8,20,0.8,0.8,0.0,1.0,11.8421203548248,0.04992348516098869,23.643611530326243,0.8806183243489865,23.41647442885009
700,0.02,31,8,40,0.8,0.8,0.1,5.0,11.985322343301045,0.11632115760487476,23.32816578020005,0.8846920147141585,23.83624093684445
500,0.03,31,6,20,0.8,0.6,0.1,3.0,12.260421172233285,0.13922680710126056,23.933174108754542,0.8782697926618986,24.03655285339656
