n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,cv_smape_mean
700,0.02,31,8,40,0.8,0.8,0.1,5.0,15.096342156947586,2.7663565642472774,25.529303149647713,0.8979547881747273,16.04272257120492
500,0.03,31,6,20,0.8,0.6,0.1,3.0,15.768110511018769,3.212765202114613,25.112306757554787,0.9009394062835169,17.071930871828588
500,0.03,63,10,30,0.9,0.8,0.0,3.0,16.110743610658787,3.4858881333305094,26.558692874389077,0.8892505293416484,16.918118347102222
500,0.03,31,8,20,0.8,0.8,0.0,1.0,16.749925579154297,5.0543993331741035,26.757979683693478,0.881787916683975,17.075527814462337
300,0.05,63,10,20,0.9,0.8,0.0,1.0,17.089260537254912,4.667518333769429,27.321028506657083,0.8803617157606848,17.291901692632518
300,0.05,31,-1,20,0.8,0.8,0.0,0.0,17.57986453394685,5.74826682706083,28.110767553831362,0.8672643086899784,17.19817311133233
