datetime,price,predicted_price,abs_error,error,ape_pct
2026-03-03 10:00:00,483.04,216.1817,266.85829833984377,-266.85829833984377,55.24558996923399
2026-03-03 09:30:00,400.01,183.49057,216.51942993164062,-216.51942993164062,54.12850413498552
2026-03-03 06:45:00,483.0,267.46832,215.53167724609375,-215.53167724609375,44.62353556932886
2026-03-03 10:15:00,337.11,488.63705,151.52705444335936,151.52705444335936,44.948845775524575
2026-03-03 06:15:00,284.93,140.3083,144.6216961669922,-144.6216961669922,50.75692122957322
2026-03-12 18:45:00,76.72,208.53003,131.810029296875,131.810029296875,171.80660529041833
2026-03-12 18:30:00,196.76,66.995575,129.76442504882812,-129.76442504882812,65.9506121108569
2026-03-03 05:30:00,99.58,228.84221,129.2622088623047,129.2622088623047,129.80739863851247
2026-03-03 09:45:00,250.01,373.8231,123.81308959960938,123.81308959960938,49.523254711562274
2026-03-02 18:45:00,286.67,172.44353,114.22647277832033,-114.22647277832033,39.84598052808474
2026-03-03 17:00:00,354.62,241.64015,112.97984802246094,-112.97984802246094,31.85941224518268
2026-03-03 16:00:00,250.07,144.38939,105.68061096191406,-105.68061096191406,42.26041130055982
2026-03-03 10:45:00,184.02,287.83322,103.81322143554686,103.81322143554686,56.414096767419785
2026-03-03 08:00:00,390.0,293.83514,96.16485595703125,-96.16485595703125,24.657655310373
2026-03-03 09:00:00,194.15,290.30225,96.15224609375,96.15224609375,49.52472088514179
2026-03-10 18:45:00,186.53,98.28639,88.24360778808594,-88.24360778808594,47.307997273900156
2026-03-12 22:00:00,155.58,68.285,87.29499633789064,-87.29499633789064,56.1093943802524
2026-03-03 18:45:00,229.43,145.37973,84.05026977539063,-84.05026977539063,36.63438495795963
2026-03-03 01:00:00,186.77,103.62023,83.14976837158204,-83.14976837158204,44.51987360196139
2026-03-03 09:15:00,250.0,169.15974,80.84025573730469,-80.84025573730469,32.336102165577465
2026-03-02 21:30:00,188.88,108.805626,80.07437408447265,-80.07437408447265,42.394310493715345
2026-03-03 11:15:00,88.87,167.9692,79.09919250488281,79.09919250488281,89.00550423633146
2026-03-03 18:00:00,328.8,251.50555,77.29444580078126,-77.29444580078126,23.50804305526181
2026-03-03 03:45:00,178.9,104.10679,74.7932113647461,-74.7932113647461,41.80727274828025
2026-03-03 14:00:00,82.04,156.67404,74.63404174804687,74.63404174804687,90.97274602428011
2026-03-13 00:00:00,100.71,28.373281,72.33671852111816,-72.33671852111816,71.82674789281172
2026-03-12 21:30:00,99.97,30.120127,69.84987327575683,-69.84987327575683,69.87083382719665
2026-03-03 15:00:00,48.14,115.73417,67.59416900634766,67.59416900634766,140.41164852976976
2026-03-05 01:00:00,130.13,64.76245,65.367548828125,-65.367548828125,50.232496984400235
2026-03-10 09:30:00,35.43,99.77596,64.34596282958984,64.34596282958984,181.61434099194588
2026-03-03 14:15:00,73.47,134.43619,60.966187744140626,60.966187744140626,82.98106290231388
2026-03-10 18:30:00,81.81,141.80429,59.99429077148437,59.99429077148437,73.33368785985515
2026-03-03 16:15:00,307.17,247.98888,59.18112365722658,-59.18112365722658,19.266570128775882
2026-03-03 13:15:00,149.43,91.447205,57.98279541015626,-57.98279541015626,38.80264673902817
2026-03-02 19:30:00,163.31,219.97668,56.6666845703125,56.6666845703125,34.69884527789115
2026-03-03 05:15:00,191.56,136.05704,55.50296264648438,-55.50296264648438,28.974192084329953
2026-03-05 00:30:00,25.1,80.52627,55.42626800537109,55.42626800537109,220.8217760842762
2026-03-02 20:15:00,138.55,193.85262,55.3026153564453,55.3026153564453,39.91527604279504
2026-03-06 06:45:00,245.95,190.65463,55.295367431640614,-55.295367431640614,22.482361133082744
2026-03-12 23:00:00,30.74,85.996574,55.256574401855474,55.256574401855474,179.75462786047234
2026-03-09 11:15:00,87.57,32.5632,55.00679809570312,-55.00679809570312,62.814659663762164
2026-03-03 08:30:00,325.06,379.51596,54.45596069335937,54.45596069335937,16.75258737643312
2026-03-06 07:00:00,130.62,184.52974,53.90973937988281,53.90973937988281,41.27219336025178
2026-03-06 18:45:00,251.42,197.56303,53.8569659423828,-53.8569659423828,21.42111436169424
2026-03-03 07:15:00,325.03,271.4429,53.58709838867185,-53.58709838867185,16.486816055072975
2026-03-04 15:45:00,88.59,35.610794,52.97920593261719,-52.97920593261719,59.802692555130676
2026-03-03 07:45:00,307.65,360.3511,52.70110473632815,52.70110473632815,17.130214388111817
2026-03-04 21:45:00,74.2,126.6908,52.49080352783203,52.49080352783203,70.74232186038924
2026-03-03 18:30:00,177.88,230.3261,52.44609558105469,52.44609558105469,29.483975312691108
2026-03-05 18:45:00,236.78,184.70316,52.076844482421876,-52.076844482421876,21.99376816559008
