iterations,learning_rate,depth,l2_leaf_reg,subsample,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,cv_smape_mean
500,0.03,6,5.0,0.8,11.956156700171016,0.5078980743865718,25.778455490958553,0.8585609771516743,22.62060994889136
700,0.02,6,7.0,0.8,11.990644463363202,0.5861627897639184,25.72411921154996,0.8593967866726233,23.019625979124484
500,0.03,5,5.0,0.8,12.055936849536875,0.7376759161723819,25.563137068108276,0.8618213004435934,22.723377309067544
300,0.05,6,3.0,0.8,12.14807397999519,0.45246359862468283,25.73512195187951,0.8590904968970573,23.359510637111914
500,0.03,8,5.0,0.9,12.24536828167672,0.23035540936684892,26.2911253187139,0.8506946099529876,24.016203904620543
300,0.05,8,3.0,0.9,12.470276871541477,0.2781291037604981,26.50563264803154,0.8488087977655137,24.6509058268273
