loss,mae,val_loss,val_mae,learning_rate
0.5077198147773743,0.5077198147773743,0.35841551423072815,0.35841551423072815,0.0003000000142492354
0.35450807213783264,0.35450807213783264,0.29794588685035706,0.29794588685035706,0.0003000000142492354
0.27794966101646423,0.27794966101646423,0.26742151379585266,0.26742151379585266,0.0003000000142492354
0.2512260377407074,0.2512260377407074,0.23250150680541992,0.23250150680541992,0.0003000000142492354
0.23869051039218903,0.23869051039218903,0.23191174864768982,0.23191174864768982,0.0003000000142492354
0.23178505897521973,0.23178505897521973,0.23343679308891296,0.23343679308891296,0.0003000000142492354
0.22042618691921234,0.22042618691921234,0.21850627660751343,0.21850627660751343,0.0003000000142492354
0.21420076489448547,0.21420076489448547,0.23382729291915894,0.23382729291915894,0.0003000000142492354
0.21294957399368286,0.21294957399368286,0.2389933317899704,0.2389933317899704,0.0003000000142492354
0.20522570610046387,0.20522570610046387,0.2430437058210373,0.2430437058210373,0.0003000000142492354
0.21087920665740967,0.21087920665740967,0.21778374910354614,0.21778374910354614,0.0003000000142492354
0.20897355675697327,0.20897355675697327,0.21679292619228363,0.21679292619228363,0.0003000000142492354
0.20181605219841003,0.20181605219841003,0.2624737620353699,0.2624737620353699,0.0003000000142492354
0.20564529299736023,0.20564529299736023,0.2276347130537033,0.2276347130537033,0.0003000000142492354
0.20112977921962738,0.20112977921962738,0.21466800570487976,0.21466800570487976,0.0003000000142492354
0.19775380194187164,0.19775380194187164,0.23340238630771637,0.23340238630771637,0.0003000000142492354
0.19317612051963806,0.19317612051963806,0.22646774351596832,0.22646774351596832,0.0003000000142492354
0.1921181082725525,0.1921181082725525,0.25165414810180664,0.25165414810180664,0.0003000000142492354
0.19023600220680237,0.19023600220680237,0.22284749150276184,0.22284749150276184,0.0003000000142492354
0.1965646594762802,0.1965646594762802,0.2086251825094223,0.2086251825094223,0.0001500000071246177
0.18425717949867249,0.18425717949867249,0.20499707758426666,0.20499707758426666,0.0001500000071246177
0.1807200014591217,0.1807200014591217,0.2036312073469162,0.2036312073469162,0.0001500000071246177
0.17774921655654907,0.17774921655654907,0.21323101222515106,0.21323101222515106,0.0001500000071246177
0.17626146972179413,0.17626146972179413,0.21276947855949402,0.21276947855949402,0.0001500000071246177
0.17563079297542572,0.17563079297542572,0.21899014711380005,0.21899014711380005,0.0001500000071246177
0.17374399304389954,0.17374399304389954,0.22202450037002563,0.22202450037002563,0.0001500000071246177
0.17194819450378418,0.17194819450378418,0.2157987803220749,0.2157987803220749,7.500000356230885e-05
0.17200082540512085,0.17200082540512085,0.21444416046142578,0.21444416046142578,7.500000356230885e-05
0.16996408998966217,0.16996408998966217,0.21169264614582062,0.21169264614582062,7.500000356230885e-05
0.16885747015476227,0.16885747015476227,0.210239976644516,0.210239976644516,7.500000356230885e-05
0.16806331276893616,0.16806331276893616,0.21042007207870483,0.21042007207870483,3.7500001781154424e-05
0.16860716044902802,0.16860716044902802,0.2109198272228241,0.2109198272228241,3.7500001781154424e-05
0.16834327578544617,0.16834327578544617,0.2122987061738968,0.2122987061738968,3.7500001781154424e-05
0.16763217747211456,0.16763217747211456,0.2116730809211731,0.2116730809211731,3.7500001781154424e-05
