n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,cv_smape_mean
700,4,0.02,0.8,0.8,5,0.1,5.0,0.0,15.224296787169889,1.8387099389904282,26.35633718891212,0.8922628161943434,16.337008743504366
500,4,0.03,0.8,0.6,3,0.1,3.0,0.0,16.367857005482417,2.288765592635225,27.327160727169538,0.8831403235717419,17.583086908573275
500,5,0.03,0.8,0.8,3,0.0,3.0,0.0,17.402315068583448,2.7057234142882947,28.68774320104274,0.8709446746886482,18.563565561557642
500,6,0.03,0.9,0.8,5,0.0,3.0,0.0,17.591825566257697,2.9631928911735503,29.934073759453923,0.8604954331766459,18.2660225949335
300,4,0.05,0.8,0.8,3,0.0,1.0,0.0,19.78537230869556,4.967896725976559,31.632368440025108,0.8452685299659833,19.55221139552727
300,6,0.05,0.9,0.8,3,0.0,1.0,0.0,20.267521272424734,4.354512905041984,33.49836142409337,0.8174978961983331,20.57382819438963
