n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_r2_mean,cv_smape_mean
700,4,0.02,0.8,0.8,5,0.1,5.0,0.0,14.599441218467405,1.1749607844274348,25.401753167579553,0.8994252299335881,16.40786753834048
500,4,0.03,0.8,0.6,3,0.1,3.0,0.0,15.637224255949299,1.7524862264084307,25.853639328570964,0.8957984128254081,17.65311926156961
500,5,0.03,0.8,0.8,3,0.0,3.0,0.0,16.575317849911265,2.6145288017253296,27.357554383509623,0.8803366678388728,18.268143026294844
500,6,0.03,0.9,0.8,5,0.0,3.0,0.0,17.208438936729316,2.9352555403164478,29.807424706865444,0.8597445696344369,18.48886630075483
300,4,0.05,0.8,0.8,3,0.0,1.0,0.0,18.517454680520718,3.890151799492989,32.62132701613787,0.8299545128238547,18.59463533839324
300,6,0.05,0.9,0.8,3,0.0,1.0,0.0,20.183832647325378,5.462690044258101,38.84214927146021,0.7393542973885956,20.180908684797252
