iter	MAE
260	15.07534919
261	15.06600248
262	15.05570597
263	15.04367322
264	15.03175415
265	15.0184557
266	15.0097334
267	14.99895575
268	14.98898703
269	14.9801857
270	14.96337838
271	14.95704187
272	14.93639297
273	14.92193898
274	14.9118033
275	14.89799401
276	14.89350403
277	14.88214874
278	14.87085123
279	14.86663808
280	14.85810306
281	14.84293109
282	14.83033396
283	14.82489357
284	14.80712127
285	14.79992402
286	14.79015385
287	14.78126161
288	14.77549442
289	14.76686771
290	14.75488316
291	14.74306175
292	14.7375496
293	14.73205342
294	14.72278626
295	14.70803552
296	14.69574052
297	14.69147556
298	14.67064655
299	14.65999556
300	14.6464011
301	14.63717656
302	14.6201131
303	14.61032363
304	14.60117694
305	14.58410062
306	14.57425444
307	14.56545748
308	14.55858242
309	14.54497026
310	14.5311226
311	14.52367228
312	14.51612535
313	14.50612396
314	14.49762541
315	14.49096412
316	14.47641649
317	14.46604529
318	14.45887079
319	14.45079913
320	14.44598817
321	14.43492424
322	14.42587663
323	14.40949306
324	14.40205488
325	14.38739283
326	14.3781828
327	14.36859556
328	14.35837472
329	14.34743806
330	14.33860689
331	14.33019642
332	14.3224479
333	14.3138841
334	14.30582678
335	14.29451864
336	14.28848433
337	14.27956747
338	14.26503156
339	14.25938655
340	14.24580126
341	14.23921297
342	14.2294866
343	14.21686078
344	14.20173205
345	14.19339443
346	14.18656223
347	14.17417629
348	14.16217647
349	14.15462558
350	14.14477223
351	14.13358936
352	14.12496647
353	14.11769737
354	14.10642227
355	14.09818696
356	14.08929258
357	14.07698495
358	14.06552232
359	14.05865679
360	14.05202451
361	14.04854887
362	14.04487246
363	14.03163252
364	14.02005892
365	14.01140714
366	14.00492408
367	13.99424455
368	13.98292524
369	13.9737822
370	13.96133163
371	13.95150184
372	13.94420989
373	13.93409119
374	13.92179329
375	13.9134241
376	13.90010907
377	13.89393146
378	13.88707134
379	13.8784051
380	13.86163064
381	13.8565568
382	13.84557442
383	13.83479553
384	13.83088049
385	13.82462203
386	13.81282414
387	13.80182429
388	13.78894506
389	13.779091
390	13.77385028
391	13.76708529
392	13.75828262
393	13.74626095
394	13.73799289
395	13.72985594
396	13.72278386
397	13.71557127
398	13.7076674
399	13.69876361
400	13.69355863
401	13.68424334
402	13.66907221
403	13.657896
404	13.64691078
405	13.64194618
406	13.63446519
407	13.6268534
408	13.62028859
409	13.61189468
410	13.60329345
411	13.59152407
412	13.58628793
413	13.57638716
414	13.56962589
415	13.56026243
416	13.54455877
417	13.5395746
418	13.53120683
419	13.52258479
420	13.51410122
421	13.50855084
422	13.49688026
423	13.49027823
424	13.4817968
425	13.47308389
426	13.46604802
427	13.45436464
428	13.45008117
429	13.4378462
430	13.43188769
431	13.42642702
432	13.41930867
433	13.41221189
434	13.40540554
435	13.39255346
436	13.38748139
437	13.38251805
438	13.37650723
439	13.36832477
440	13.35784526
441	13.34709223
442	13.3387077
443	13.33262437
444	13.32207711
445	13.31626408
446	13.31103947
447	13.30070456
448	13.29128375
449	13.28503151
450	13.27868858
451	13.27342898
452	13.26620235
453	13.25638079
454	13.25120087
455	13.24247648
456	13.23694973
457	13.23163498
458	13.22762433
459	13.22184777
460	13.21636326
461	13.20327172
462	13.19844029
463	13.1942407
464	13.18754889
465	13.18009091
466	13.17469427
467	13.1639244
468	13.15795753
469	13.15035553
470	13.14285454
471	13.13101768
472	13.12307511
473	13.11560714
474	13.10907702
475	13.10069162
476	13.09689109
477	13.0914878
478	13.08685572
479	13.07714394
480	13.07242565
481	13.06123409
482	13.05290419
483	13.04430464
484	13.03610861
485	13.02719002
486	13.02143658
487	13.01709913
488	13.01180042
489	13.00732931
490	13.0008034
491	12.99611603
492	12.98708051
493	12.98255789
494	12.97767973
495	12.97183317
496	12.96537084
497	12.95907869
498	12.94670534
499	12.93862661
