iter	MAE
0	70.54074219
1	69.04877915
2	67.79788337
3	66.52545102
4	65.2762196
5	64.21950818
6	62.95875794
7	61.76541675
8	60.64875865
9	59.54009399
10	58.34082746
11	57.36513864
12	56.31522537
13	55.35047686
14	54.38918486
15	53.39794268
16	52.5387186
17	51.6539969
18	50.71346053
19	49.79577231
20	48.85167107
21	48.19239208
22	47.42290847
23	46.59156736
24	45.76445079
25	45.1316888
26	44.3083051
27	43.61370938
28	42.88931516
29	42.19987724
30	41.53545963
31	40.89278749
32	40.35098925
33	39.80616562
34	39.2278111
35	38.66762961
36	38.15894037
37	37.52451541
38	37.03648098
39	36.43197456
40	35.92396241
41	35.48426733
42	34.98603839
43	34.48650996
44	33.95923694
45	33.55785712
46	33.08414987
47	32.65386222
48	32.22872983
49	31.83969572
50	31.4619995
51	31.03749159
52	30.67120126
53	30.32830687
54	29.96775311
55	29.57911547
56	29.1738045
57	28.84189293
58	28.4850728
59	28.15067908
60	27.86472052
61	27.5693693
62	27.25691339
63	26.92526218
64	26.6329289
65	26.34562637
66	26.06651581
67	25.77853867
68	25.53036558
69	25.26236694
70	25.02977117
71	24.81544242
72	24.61835429
73	24.4044533
74	24.1802936
75	23.9767374
76	23.74293496
77	23.55718234
78	23.37227615
79	23.21285766
80	23.02103151
81	22.82182232
82	22.65271884
83	22.45797399
84	22.33689518
85	22.18875544
86	22.03448678
87	21.86160939
88	21.69188117
89	21.55791382
90	21.44284909
91	21.28344636
92	21.13029597
93	20.99669977
94	20.87131447
95	20.74518008
96	20.62615167
97	20.53709712
98	20.41743566
99	20.29624569
100	20.18958092
101	20.07416213
102	19.97008598
103	19.88183406
104	19.78503493
105	19.70099256
106	19.60692122
107	19.52183416
108	19.41650137
109	19.32058697
110	19.2428423
111	19.15508689
112	19.07431364
113	18.98791973
114	18.91048303
115	18.84404986
116	18.78981321
117	18.71155969
118	18.66240972
119	18.59542135
120	18.52800649
121	18.46659297
122	18.40801687
123	18.34596634
124	18.30278968
125	18.25365113
126	18.1948556
127	18.12947604
128	18.06344221
129	18.00553871
130	17.97147455
131	17.90995974
132	17.87091453
133	17.83522856
134	17.79754717
135	17.7413059
136	17.69527596
137	17.65782591
138	17.62015373
139	17.5625817
140	17.51372601
141	17.48143379
142	17.45049733
143	17.4284698
144	17.39714597
145	17.36876124
146	17.34358551
147	17.31615962
148	17.27402198
149	17.23050356
150	17.18122138
151	17.1596575
152	17.13537599
153	17.10377996
154	17.07152871
155	17.03771086
156	17.00476883
157	16.97263384
158	16.92538558
159	16.88748895
160	16.85910104
161	16.83232279
162	16.81612824
163	16.78457448
164	16.77092226
165	16.74468854
166	16.70819344
167	16.66885439
168	16.63417168
169	16.61147877
170	16.59020801
171	16.56836619
172	16.53620361
173	16.52444435
174	16.49887271
175	16.4913052
176	16.46236855
177	16.43525492
178	16.40875704
179	16.39615512
180	16.36932652
181	16.327797
182	16.29871389
183	16.27518959
184	16.25561105
185	16.2399374
186	16.21523629
187	16.19958873
188	16.18433738
189	16.16466998
190	16.14767227
191	16.12282145
192	16.10714414
193	16.08515493
194	16.07665742
195	16.06736937
196	16.03608513
197	16.01750795
198	15.99934417
199	15.98083274
200	15.96645381
201	15.94840455
202	15.92463335
203	15.90268608
204	15.87897398
205	15.86267674
206	15.84397611
207	15.82691319
208	15.81752759
209	15.80137486
210	15.78067408
211	15.76684222
212	15.75671379
213	15.7478301
214	15.73753039
215	15.7176599
216	15.69111097
217	15.67978761
218	15.65539345
219	15.64011534
220	15.62807008
221	15.60790918
222	15.59630211
223	15.57395324
224	15.5614058
225	15.54705283
226	15.53032639
227	15.52065962
228	15.49686511
229	15.48611948
230	15.47941472
231	15.46659102
232	15.44930152
233	15.43355933
234	15.42354316
235	15.4068727
236	15.39197851
237	15.37920267
238	15.3638821
239	15.34498936
240	15.33145673
241	15.3200746
242	15.30154024
243	15.28031966
244	15.27236475
245	15.25879721
246	15.24623963
247	15.23669593
248	15.22861203
249	15.22283894
250	15.20986902
251	15.20075529
252	15.17818054
253	15.17109594
254	15.15490466
255	15.13417637
256	15.11920766
257	15.10394988
258	15.09661075
259	15.08814826
